row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t0_BS_1.mzML Peak area,t0_BS_2.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_1.mzML Peak area,t0_Ec_2.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_C.mzML Peak area,t1_BS_1.mzML Peak area,t1_BS_2.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_C.mzML Peak area,t1_Ec_1.mzML Peak area,t1_Ec_2.mzML Peak area,t1_Ec_3.mzML Peak area,t1_Ec_C.mzML Peak area,t2_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_C.mzML Peak area,t2_Ec_1.mzML Peak area,t2_Ec_2.mzML Peak area,t2_Ec_3.mzML Peak area,t2_Ec_C.mzML Peak area,t3_BS_1.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_3.mzML Peak area,t3_BS_C.mzML Peak area,t3_Ec_1.mzML Peak area,t3_Ec_2.mzML Peak area,t3_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t4_BS_1.mzML Peak area,t4_BS_2.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_C.mzML Peak area,t4_Ec_1.mzML Peak area,t4_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t4_Ec_C.mzML Peak area,t5_BS_1.mzML Peak area,t5_BS_2.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t5_Ec_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_Ec_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t6_BS_C.mzML Peak area,t6_Ec_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_Ec_3.mzML Peak area,t6_Ec_C.mzML Peak area,t7_BS_1.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_3.mzML Peak area,t7_BS_C.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_BS_1.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_C.mzML Peak area,t8_Ec_1.mzML Peak area,t8_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t8_Ec_C.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_C.mzML Peak area,t9_Ec_1.mzML Peak area,t9_Ec_2.mzML Peak area,t9_Ec_3.mzML Peak area,t9_Ec_C.mzML Peak area
2,284.0490103,0.07352047,,,,,,,,,,,17433.18,4355.322,10024.892,20755.18,22109.188,4875.9644,22036.092,1897.2189,20930.334,5378.2334,18188.453,19835.082,18244.037,20417.26,1695.9965,7435.9023,4262.3906,4663.6113,20200.516,17440.828,21747.912,1985.3657,5065.429,18484.367,20001.395,4854.831,65528.32,22136.297,23531.36,20840.535,24317.582,23408.113,21779.809,23366.633,1496.7511,21512.127,23987.516,22885.908,20502.205,18767.963,18208.166,19439.273,21375.271,23160.66,4051.4673,20846.96,25988.463,20727.94,23277.852,23021.77,19423.738,16409.041,21638.328,17550.69,12924.526,1749.0386,4176.5664,23768.797,10403.443,25024.941,22115.018,22194.277,28574.672,4409.38,27183.98,23442.156,29168.469,26823.367,29180.645,24881.938,29405.38,23104.445,25643.275,24276.264,27789.332,7223.9854,25101.523,28556.88,28486.467,27427.037
6,267.0352464,0.116444126,,,,,,,,,,,75040.11,78208.43,78494.914,76631.37,82040.83,10763.7295,83026.68,80481.48,78644.99,68145.16,82846.62,81488.6,84474.336,41529.54,86577.43,82239.96,88665.12,82006.62,11919.039,88613.35,89304.22,2843.9346,84207.7,95421.92,42062.348,94682.375,97388.625,12551.383,99678.945,13265.098,103138.1,104292.79,60886.793,104051.21,103701.5,101091.64,105612.2,104559.08,107314.51,98880.98,8224.141,108080.46,111798,105797.13,115454.83,111556.914,113798.12,106367.33,105661.38,116712.18,112513.84,112260.805,15001.748,104216.02,108782.836,119112.055,116557.01,122171.984,128124.21,16367.007,132863.58,18406.736,147233.73,98897.5,142320.4,71793.92,140100.11,146903.6,150783.27,151305.55,153205.45,59329.625,152010.89,141858.53,144812.08,71790.38,149117.7,160368.38,157908.19,155249.89
8,281.050873,0.116664544,,,,,,,,,,,1697266.2,1631237,1627597.1,228957.92,242289.98,1642048.9,1705003.1,1626212.6,1610743.2,1617801,1697776,1736482.5,1672927.1,246844.98,1730372,1659005.9,3636798.2,238900.69,1801658.1,1726171.6,1790524.1,1793722.6,1758510.6,1826660.6,825967.75,1797005.8,1861560.6,1791205,1874701.4,264772.88,1880207.5,1903202.8,1836889,1856752.6,1856437.4,1911860.8,1896889.1,1865197,1879303.2,1858485.6,1878137.2,1865427.5,1885725,263653.38,1915697.1,1857064.4,1959094.5,1809681.2,1878324.1,1938576.1,1918236.5,1846109.1,1889204.8,1788074.6,1748643.1,1942541.6,1850521.8,1911116.8,1996669.9,1939815.1,2107426,314931.1,2252714.8,2107145,2165417.8,1201723.6,2277905.5,2273466.2,2240746.8,2251822.2,318348.78,2230275.2,2232071.8,2149341.5,2186300.8,1151338,2165031.5,2294908.2,2246502.2,2231282.2
11,227.0220163,0.025476014,,,,,,,,,,,25428.309,3144.4167,28229.959,32815.08,46982.75,31859.559,53433.332,53151.668,21978.041,33175.94,58325.504,24351.291,56299.64,35527.3,52673.234,58422.902,36375.652,31167.693,33978.777,29801.875,30897.684,60924.164,5797.2085,57932.742,15339.551,24102.004,38324.047,62250.574,16391.33,30829.754,26468.875,63844.08,58484.945,63878.094,25356.414,29796.38,64599.23,11302.128,11253.331,55248.395,25999.299,56873.7,65116.66,63951.35,20976.223,32048.906,25768.02,38509.773,65817.984,47322.684,32362.533,29141.127,41154.426,9306.698,33487.17,51753.508,16604.943,50512.074,40505.69,30468.777,38982.734,73907.41,75677.15,72864.14,27536.453,42869.934,46093.223,36549.098,31071.268,50178.266,77031.516,29224.246,77089.79,44565.508,75053.586,22575.89,38971.953,68738.09,63997.76,74839.195
13,239.0947388,0.026165182,,,,,,,,,,,95145.99,46588.438,100999.836,101895.63,41008.7,100406.81,34433.387,98985.75,47213.04,52947.16,44878.953,95894.56,94406.81,94640.95,48165.555,91480.95,90689.734,45546.42,92272.87,57973.746,92320.29,92973.32,92752.7,94062.87,40928.4,92420.69,92984.1,12575.482,50080.32,20610.39,91256.74,36585.836,33549.285,90869.88,90989.82,39958.145,92500.49,34380.75,82588.95,91859.11,91092.43,91129.914,92098.74,92114.48,43136.523,90547.01,55942.684,31172.871,91261.53,90633.73,73799.21,88122.75,23996.992,61781.45,64743.26,90371.05,80596.71,41652.37,29155.664,69202.42,38439.25,87533.08,49143.074,85472.43,61736.79,58640.04,90054.49,47691.52,46335.805,26121.633,26745.67,98362.26,12844.565,99819.69,58561.918,53665.6,37889.34,100194.13,84681.64,55763.066
15,284.0490001,0.15191087,,,,,,,,,,,88282.33,36163.434,38635.613,121834.44,39719.406,89345.8,48019.9,40891.207,44813.215,44965.72,42947.156,47317.01,18107.31,35118.098,53535.973,25173.996,50197.184,38067.402,51429.086,50026.12,46020.062,51349.156,28960.941,20036.473,38516.184,60386.023,48698.91,28999.225,52508.188,53201.195,36412.332,55179.55,18926.494,26977.193,51452.844,48381.203,36481.168,16873.59,32558.62,53181.97,54092.36,53252.715,46638.375,5211.1157,54896.156,5613.7725,56603.7,36800.63,40430.1,56292.375,30097.145,17690.008,29022.14,27649.46,47925.438,56135.367,34216.14,33911.11,54768.35,35182.945,45517.434,44077.36,6062.292,43590.62,45409.285,25704.719,24719.068,65875.89,58949.145,65325.27,59815.754,144806.06,65065.07,18545.58,23812.424,19355.408,62776.63,25392.137,173070.67,50639.062
16,161.0821088,0.10668242,,,,,,,,,,,227146.39,97560.516,84551.16,78899.086,120634.67,249770.9,84202.81,289242.25,452832.88,437104.38,189995.92,148264.38,89187.734,42879.594,226531.92,186729.19,328183.8,157668.62,120944.13,351515.7,97476.3,179809.02,314149.1,133122.97,204392.44,192533.19,240224.52,184113.5,48474.223,87374.68,24837.12,150992.11,173899.89,143251.14,114625.7,191438.22,42168.72,199506,93112.586,260118.5,115144.62,185683.33,270548.62,232272.47,161744.56,186929.08,105503.41,54885.76,220555.03,139460.69,74613.09,279364.5,84468.12,214774.23,531986,109450.64,243061.97,136238.6,206028.89,173314.53,78930.24,47234.78,24893.57,154990.58,79352.58,90589.734,146254.86,51648.54,145744.55,147763.9,128658.52,247168.12,88001.84,56055.54,83735.53,155192.48,85410.945,184276.83,71800.94,45999.105
21,281.0508777,0.23098621,,,,,,,,,,,2054228.1,4952906,1953164.4,1964036.1,2020126.8,1981426.2,2036833.9,5049330.5,1919365.6,1944161.4,2037187.6,5378667,2000859,2060556.9,2029697.4,1988693.4,2128885.5,2047285.6,2182884.5,2115994.8,2175456.2,2212790.2,2134230.5,5766247,2179780.8,2210979.5,2239083,2211133.8,2297493.8,2241884.2,2260883.2,2305187,2242525.5,2251212.2,2271699.2,2325409.5,2325545,2261993.2,2303604.8,2281018.8,2321844.2,2264138.2,2288987,2212047,2310138.2,2300361.5,2365306.8,2233213.5,2273383,2335369.5,2292564.5,2294450.8,2243839.8,2146303.5,2142542.8,2367504,2252191,2273786.8,2432062.5,2317094.5,2555427.2,2634255,2738650.2,2573715.5,2700716.5,2732181.8,2791520.5,2751159.8,2759834.2,2753168.8,2766514.5,2734336.8,2732606.2,2699990.2,2670569.5,2622309.8,2705930,2820920.8,2744883.2,2719381.2
24,161.0821156,0.19128656,,,,,,,,,,,214440.47,244698.61,216728.81,116257.47,245406.48,166710.19,187034.48,197221.12,516091.72,518344.2,123112.516,63881.2,12382.619,121482.01,336913.06,70691.016,88754.18,170862.81,139863.06,308751.22,180094.38,66469.945,196185.08,77093.11,95262.28,84849.82,217732.1,43228.695,227550.4,96698.09,108668.305,136620.53,109847.22,106408.47,260505,204144.86,151321.6,161569.22,150229.31,243910.78,16744.07,245135.12,269093.88,131124.52,72333.45,89708.68,71965.83,29467.125,232440.11,175577.45,42723.617,232238.4,86460.5,712423.7,168647.47,149794,153197.08,271942.44,206028.89,525162.75,108482.836,49939.367,110338.75,255369,81177.336,77565.17,70128.4,158259.95,76866.87,173936.22,184417.31,96712.58,44509.164,62121.69,176747.69,172093.22,94031.03,117190.24,151312.58,153268.67
25,284.0489967,0.2343344,,,,,,,,,,,50016.688,30202.674,16897.887,14007.651,7563.9473,21243.742,49115.44,12647.69,28919.277,26923.193,41411.12,26376.918,28899.84,28062.707,27951.842,28246.492,39951.203,40906.168,52877.168,46868.227,53690.63,55020.355,42879.52,55509.543,46416.24,31185.057,53952.363,44880.08,56715.953,51162.4,55764.64,45304.973,12974.039,51228.02,56227.523,38522.72,53703.953,69338.63,23091.436,9353.549,46063.76,55593.37,23548.102,29528.594,57322.18,5613.7725,52055.973,53919.477,56138.133,56219.324,2989.228,11975.761,42343.426,10502.301,36431.254,53829.74,11130.587,35759.793,38213.223,52502.65,35167.754,66141.39,35869.273,17925.115,46543.37,44239.773,68134.6,67435.61,31650.273,66975.12,63062.29,36082.902,68119.85,64193.406,59604.664,11099.748,65295.617,67934.33,24382.08,23628.791
