filename	ATTRIBUTE_species	ATTRIBUTE_sample	ATTRIBUTE_timepoint	ATTRIBUTE_hours	ATTRIBUTE_mins	ATTRIBUTE_replicates						
t0_BS_1.mzML Peak area	B.subtilis	sample	0	-0.166666667	-10	1						
t0_BS_2.mzML Peak area	B.subtilis	sample	0	-0.166666667	-10	2						
t0_BS_3.mzML Peak area	B.subtilis	sample	0	-0.166666667	-10	3						
t0_BS_C.mzML Peak area	B.subtilis	Control	0	-0.166666667	-10	0						
t0_Ec_1.mzML Peak area	E.coli	sample	0	-0.166666667	-10	1						
t0_Ec_2.mzML Peak area	E.coli	sample	0	-0.166666667	-10	2						
t0_Ec_3.mzML Peak area	E.coli	sample	0	-0.166666667	-10	3						
t0_Ec_C.mzML Peak area	E.coli	Control	0	-0.166666667	-10	0						
t1_BS_1.mzML Peak area	B.subtilis	sample	1	0	0	1						
t1_BS_2.mzML Peak area	B.subtilis	sample	1	0	0	2						
t1_BS_3.mzML Peak area	B.subtilis	sample	1	0	0	3						
t1_BS_C.mzML Peak area	B.subtilis	Control	1	0	0	0						
t1_Ec_1.mzML Peak area	E.coli	sample	1	0	0	1						
t1_Ec_2.mzML Peak area	E.coli	sample	1	0	0	2						
t1_Ec_3.mzML Peak area	E.coli	sample	1	0	0	3						
t1_Ec_C.mzML Peak area	E.coli	Control	1	0	0	0						
t2_BS_1.mzML Peak area	B.subtilis	sample	2	0.5	30	1						
t2_BS_2.mzML Peak area	B.subtilis	sample	2	0.5	30	2						
t2_BS_3.mzML Peak area	B.subtilis	sample	2	0.5	30	3						
t2_BS_C.mzML Peak area	B.subtilis	Control	2	0.5	30	0						
t2_Ec_1.mzML Peak area	E.coli	sample	2	0.5	30	1						
t2_Ec_2.mzML Peak area	E.coli	sample	2	0.5	30	2						
t2_Ec_3.mzML Peak area	E.coli	sample	2	0.5	30	3						
t2_Ec_C.mzML Peak area	E.coli	Control	2	0.5	30	0						
t3_BS_1.mzML Peak area	B.subtilis	sample	3	1.166666667	70	1						
t3_BS_2.mzML Peak area	B.subtilis	sample	3	1.166666667	70	2						
t3_BS_3.mzML Peak area	B.subtilis	sample	3	1.166666667	70	3						
t3_BS_C.mzML Peak area	B.subtilis	Control	3	1.166666667	70	0						
