row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t2_Ec_C.mzML Peak area,t2_BS_C.mzML Peak area,t1_BS_C.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_C.mzML Peak area,t1_Ec_C.mzML Peak area,Blank_B.mzML Peak area,Blank_A.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_1.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t1_Ec_2.mzML Peak area,t0_Ec_2.mzML Peak area,t1_BS_2.mzML Peak area,t3_Ec_1.mzML Peak area,t1_Ec_1.mzML Peak area,t3_Ec_3.mzML Peak area,t1_Ec_3.mzML Peak area,t2_Ec_1.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_1.mzML Peak area,t3_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t0_BS_2.mzML Peak area,t4_Ec_2.mzML Peak area,t3_BS_1.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_1.mzML Peak area,t2_Ec_3.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_C.mzML Peak area,t2_Ec_2.mzML Peak area,t3_BS_3.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_1.mzML Peak area,t4_Ec_C.mzML Peak area,t4_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t6_Ec_1.mzML Peak area,t4_Ec_1.mzML Peak area,t7_BS_1.mzML Peak area,t5_Ec_2.mzML Peak area,t4_BS_2.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_C.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_BS_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_BS_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_Ec_C.mzML Peak area,t6_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t7_BS_3.mzML Peak area,t8_Ec_C.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_C.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t9_Ec_C.mzML Peak area,t9_Ec_1.mzML Peak area,t8_Ec_1.mzML Peak area,t9_Ec_3.mzML Peak area,t8_BS_C.mzML Peak area,t9_Ec_2.mzML Peak area,t9_BS_C.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,
3,284.04900353973636,0.07147484,,,,,,,,,,,18484.367,17440.828,19328.701,20755.18,1897.2189,6918.8896,18021.572,24335.373,22036.092,22109.188,18188.453,20930.334,4663.6113,20417.26,4875.9644,5378.2334,23531.36,18244.037,24317.582,1695.9965,21747.912,20200.516,4262.3906,20840.535,20502.205,23408.113,4355.322,22885.908,20001.395,1496.7511,21779.809,5065.429,4854.831,22136.297,1985.3657,65528.32,10024.892,17433.18,18767.963,21512.127,4051.4673,21638.328,23987.516,4176.5664,20846.96,23366.633,23160.66,20727.94,21375.271,19439.273,25988.463,18208.166,17550.69,16409.041,23277.852,1749.0386,12924.526,4409.38,24881.938,27914.701,22115.018,22194.277,29405.38,10403.443,22516.723,23768.797,25024.941,23442.156,29168.469,27183.98,23021.77,19423.738,27427.037,25101.523,28569.568,28486.467,26823.367,3143.7278,7223.9854,27789.332,25643.275,24276.264,
8,281.05086576715956,0.100461915,,,,,,,,,,,1666677.4,1537228.2,1559159.1,228957.92,1483196.1,1490144.4,1402257.6,1604372.0,1555032.9,242289.98,1527723.4,1455835.2,238900.69,246844.98,1494630.1,1458055.5,1690082.8,1524498.6,1709993.0,1577429.5,1614340.4,1604511.1,3636798.2,264772.88,271089.38,1711392.0,1486936.5,1678557.6,825967.75,1690640.4,1649770.6,1587763.4,1617942.0,1652363.8,1622765.2,266014.78,1447067.4,1525560.8,1673047.5,1739549.4,1737843.5,1697421.0,1698165.6,1689532.1,1693816.0,1672933.8,263653.38,1605831.9,1716907.5,1680300.8,1765576.0,1687922.4,1605864.6,1678684.9,1711743.5,1766854.6,1589623.1,1920143.6,2033705.0,2030661.2,1902275.6,314931.1,318348.78,1800271.5,2005207.8,1716666.4,1755851.5,1201723.6,2050065.2,1965479.8,1725159.0,1711116.9,2004502.4,1952642.2,2025232.2,2022149.5,2078173.5,2063918.5,1151338.0,1969012.2,1988580.5,1937270.8,
11,267.0352391797281,0.13142197,,,,,,,,,,,104752.63,96762.875,81488.6,84678.31,87768.32,89789.445,83519.48,90303.766,90527.87,89520.49,90752.54,86706.234,82006.62,41529.54,10763.7295,68145.16,108800.94,92322.42,112777.14,94401.45,97510.94,11919.039,96853.07,13265.098,117371.42,113983.83,85246.63,114709.87,42062.348,112845.22,60886.793,92949.96,103621.76,12551.383,99882.13,107415.57,85716.81,83531.945,108342.09,118136.625,125911.88,126790.14,116621.92,127245.12,122781.77,113633.15,115550.96,115812.14,122031.086,117669.37,113798.12,8224.141,104216.02,122509.375,115987.305,129978.53,117829.41,98897.5,164952.42,161754.34,148083.81,18406.736,164707.1,139533.12,72942.96,132734.95,16367.007,85650.94,155001.64,155326.19,127510.91,123302.27,168978.94,162833.31,164255.53,171560.39,160248.84,174509.27,84506.48,159289.83,166977.81,155360.7,
13,227.0220125379265,0.030334018,,,,,,,,,,,54005.21,26107.27,20693.07,29125.81,49649.535,58462.227,21758.146,37453.914,49824.758,43567.508,58795.977,18615.791,27379.434,31851.676,28182.434,29771.379,12575.318,56658.438,22714.691,49130.336,27150.701,30139.379,32709.602,26927.957,7003.7686,64438.316,38914.574,7386.3525,15339.551,21401.389,54592.61,1982.1975,20306.172,62945.52,61465.97,34512.42,24547.158,21987.088,51247.41,25817.295,16854.57,37020.195,64776.984,12733.822,28147.174,64277.453,64607.332,34659.22,63844.68,52930.566,21564.594,21728.576,5772.7188,25125.578,65546.17,47498.66,29850.53,73748.29,45254.1,76011.29,34334.266,73686.1,75778.32,36440.887,24293.453,46514.746,29987.09,42869.934,41270.758,22784.834,43124.887,28306.744,69899.97,34397.668,26124.654,58932.707,31790.512,63705.934,22575.89,74911.14,77407.75,40599.867,
14,239.09473381685788,0.030724753,,,,,,,,,,,91796.66,53176.098,95871.805,100849.484,95633.74,89631.97,94997.12,72088.13,29808.2,36510.336,40577.707,43122.74,41458.566,92358.99,98662.19,48731.137,45973.55,89515.17,89894.164,43475.99,90155.73,90879.445,89120.625,16423.049,78428.54,32440.379,42001.75,30187.19,36146.797,90738.41,29462.033,90101.94,90527.45,89611.88,91214.95,91077.766,100984.164,92206.42,91000.695,35073.895,38353.05,19921.508,91489.35,79622.87,87936.97,89464.58,90154.41,27016.02,90778.2,89443.13,51071.758,89971.61,58103.473,83338.484,88084.984,88831.95,61348.27,81253.984,21527.521,44730.605,34200.984,83240.48,22199.78,25221.488,97755.36,37394.45,65580.69,58640.04,85359.164,57404.07,89629.49,69065.44,51196.688,33387.895,41812.1,79258.195,43131.734,99982.54,53665.6,53224.133,8322.643,98724.914,
16,302.0586989779447,0.0369116,,,,,,,,,,,38937.355,48689.27,32060.047,51742.97,10813.594,36890.676,27851.371,45895.418,72939.766,63567.363,63773.03,60733.656,69905.13,72916.74,72215.48,42342.805,77839.06,71574.2,76814.43,20197.582,7888.545,56628.723,35575.457,26914.857,79878.1,55411.266,17543.078,79024.73,20641.354,68251.516,23596.02,39208.082,75338.79,75531.13,69704.875,29840.879,23531.217,66040.79,26988.092,57457.184,27492.992,33912.086,52537.527,60160.406,76837.9,77884.37,59807.74,37709.773,72733.805,23823.498,61565.633,79390.1,38583.72,76996.9,65682.266,8324.152,67229.695,82615.195,79519.62,37044.66,60629.51,77188.234,90461.49,77429.06,29822.648,65323.0,15951.289,78218.94,50425.254,36564.742,38676.008,34950.793,89653.836,87579.77,90538.98,91364.336,89124.41,91594.47,27219.08,37610.273,65106.055,85097.125,
18,284.04899834934344,0.14822169,,,,,,,,,,,22257.555,50832.78,49410.293,121834.44,43243.31,25173.996,46585.793,17150.455,50049.996,41917.11,44973.5,46960.59,40086.48,35118.098,89345.8,45605.31,55079.47,17023.658,35283.84,53535.973,48516.42,52769.125,51406.59,55323.984,32558.62,56284.594,34722.133,15103.984,37451.23,53614.363,18926.494,28960.941,60386.023,31495.404,52823.957,50747.668,38635.613,88282.33,54277.426,51094.562,57503.684,29022.14,38966.94,36615.062,5613.7725,29421.904,4050.0305,38896.32,49167.234,55199.105,57690.113,53235.293,29482.4,17690.008,42564.19,57114.316,46844.887,46073.09,66176.766,4761.735,48076.945,42287.496,59815.754,5324.4985,144806.06,32286.312,37551.805,25704.719,27581.736,43414.316,57535.453,32499.176,53253.918,63950.95,61776.453,173070.67,67154.56,27935.762,19355.408,26825.521,66470.77,19064.969,
19,161.0821063216963,0.10903143,,,,,,,,,,,133122.97,351515.7,148264.38,78899.086,289242.25,186729.19,115491.86,134166.88,84202.81,120634.67,189995.92,452832.88,157668.62,42879.594,249770.9,437104.38,48474.223,89187.734,24837.12,226531.92,97476.3,120944.13,328183.8,87374.68,93112.586,150992.11,97560.516,199506.0,204392.44,114625.7,173899.89,314149.1,192533.19,184113.5,179809.02,240224.52,84551.16,227146.39,260118.5,191438.22,161744.56,84468.12,42168.72,243061.97,186929.08,143251.14,232272.47,54885.76,270548.62,185683.33,105503.41,115144.62,214774.23,279364.5,220555.03,109450.64,531986.0,154990.58,147763.9,24893.57,78930.24,47234.78,128658.52,206028.89,247168.12,136238.6,173314.53,90589.734,146254.86,79352.58,139460.69,74613.09,45999.105,85410.945,145744.55,71800.94,51648.54,184276.83,155192.48,83735.53,88001.84,56055.54,
21,266.99904363209004,0.18294483,,,,,,,,,,,18039.861,21120.979,20408.555,9622.239,20849.736,3028.7373,16649.693,23756.709,8223.177,8309.926,16458.984,6698.2144,23424.035,29986.863,8160.4624,26225.754,29188.14,34928.69,15669.612,5469.1655,2567.1118,18158.986,6647.598,13774.903,9827.642,23247.242,3317.6682,13622.281,8839.727,6095.147,14553.097,33517.375,18401.15,12767.202,12170.414,27774.9,14741.886,7861.069,42960.957,9450.456,44472.26,15273.903,12303.414,7752.04,42755.72,19211.688,24992.54,26024.703,29481.314,12006.593,20134.527,17114.635,32836.71,5353.123,43195.043,34660.598,23281.514,42892.58,19724.219,16517.215,6349.755,132816.62,141297.33,34620.09,26486.672,41102.547,37633.316,21781.354,41395.812,16396.715,27533.434,43469.51,67172.56,39817.88,14856.637,41327.277,55849.34,74555.58,110131.836,28773.305,58074.242,27285.758,
22,250.11838630403162,0.16933578,,,,,,,,,,,20357.93,1037.0643,23914.863,35365.45,11312.343,12760.193,31490.281,47691.76,9260.832,4544.1665,7695.4863,15665.444,14001.582,4221.4116,33366.883,10531.228,6071.97,4585.8335,18685.346,31397.014,16080.793,6622.2573,4442.9033,4848.2754,15291.482,3543.6675,10089.8955,15754.206,4412.2266,5874.101,4625.251,5969.2363,8673.673,14188.106,18217.186,2152.8574,4915.633,42024.11,7952.8345,6513.797,14807.049,13772.067,1940.3197,12409.641,5969.9863,8128.3936,11378.669,1896.7751,12908.349,13965.528,8245.644,11058.474,5523.5107,10537.848,6844.9956,9006.021,13474.25,2220.0635,6201.7417,12990.226,3086.9438,7554.808,2825.1892,2932.5972,4253.294,3395.9172,4755.514,7123.3003,1451.5889,2057.1553,1565.1207,7628.226,8270.544,14034.631,5477.298,2899.2603,6952.172,5571.109,4332.001,5345.74,11411.436,12572.024,
