row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,t2_Ec_C.mzML Peak area,t2_BS_C.mzML Peak area,t1_BS_C.mzML Peak area,t0_BS_C.mzML Peak area,t0_Ec_C.mzML Peak area,t1_Ec_C.mzML Peak area,Blank_B.mzML Peak area,Blank_A.mzML Peak area,t0_Ec_3.mzML Peak area,t0_Ec_1.mzML Peak area,t1_BS_3.mzML Peak area,t1_BS_1.mzML Peak area,t2_BS_2.mzML Peak area,t1_Ec_2.mzML Peak area,t0_Ec_2.mzML Peak area,t1_BS_2.mzML Peak area,t3_Ec_1.mzML Peak area,t1_Ec_1.mzML Peak area,t3_Ec_3.mzML Peak area,t1_Ec_3.mzML Peak area,t2_Ec_1.mzML Peak area,t2_BS_3.mzML Peak area,t2_BS_1.mzML Peak area,t3_Ec_2.mzML Peak area,t4_Ec_3.mzML Peak area,t3_Ec_C.mzML Peak area,t0_BS_2.mzML Peak area,t4_Ec_2.mzML Peak area,t3_BS_1.mzML Peak area,t4_BS_3.mzML Peak area,t4_BS_1.mzML Peak area,t2_Ec_3.mzML Peak area,t3_BS_2.mzML Peak area,t3_BS_C.mzML Peak area,t2_Ec_2.mzML Peak area,t3_BS_3.mzML Peak area,t0_BS_3.mzML Peak area,t0_BS_1.mzML Peak area,t4_Ec_C.mzML Peak area,t4_BS_C.mzML Peak area,t5_Ec_1.mzML Peak area,t6_Ec_1.mzML Peak area,t4_Ec_1.mzML Peak area,t7_BS_1.mzML Peak area,t5_Ec_2.mzML Peak area,t4_BS_2.mzML Peak area,t5_BS_C.mzML Peak area,t5_Ec_C.mzML Peak area,t5_BS_3.mzML Peak area,t5_BS_2.mzML Peak area,t5_Ec_3.mzML Peak area,t5_BS_1.mzML Peak area,t6_Ec_2.mzML Peak area,t6_BS_C.mzML Peak area,t6_BS_1.mzML Peak area,t6_Ec_C.mzML Peak area,t6_Ec_3.mzML Peak area,t7_Ec_C.mzML Peak area,t8_Ec_2.mzML Peak area,t7_Ec_3.mzML Peak area,t7_Ec_1.mzML Peak area,t7_Ec_2.mzML Peak area,t8_Ec_3.mzML Peak area,t7_BS_3.mzML Peak area,t8_Ec_C.mzML Peak area,t7_BS_2.mzML Peak area,t7_BS_C.mzML Peak area,t8_BS_2.mzML Peak area,t8_BS_3.mzML Peak area,t8_BS_1.mzML Peak area,t6_BS_2.mzML Peak area,t6_BS_3.mzML Peak area,t9_Ec_C.mzML Peak area,t9_Ec_1.mzML Peak area,t8_Ec_1.mzML Peak area,t9_Ec_3.mzML Peak area,t8_BS_C.mzML Peak area,t9_Ec_2.mzML Peak area,t9_BS_C.mzML Peak area,t9_BS_3.mzML Peak area,t9_BS_1.mzML Peak area,t9_BS_2.mzML Peak area,
3,284.0490468294881,0.006678196,,,,,,,,,,,0,0,0,0,0,0,0,24335.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65528.32,0,0,0,0,0,0,0,4176.5664,0,0,0,0,0,0,0,0,0,0,0,0,0,4409.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,281.05081876580823,0.069245346,,,,,,,,,,,0,0,0,0,0,0,0,1604372.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636798.2,0,0,0,0,0,825967.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201723.6,0,0,0,0,0,0,0,0,0,0,1151338.0,0,0,0,
11,267.03506779933355,0.096246555,,,,,,,,,,,0,0,0,0,0,0,0,90303.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42062.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,227.0219931120028,0.114981666,,,,,,,,,,,0,0,0,0,0,0,0,37453.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15339.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42869.934,0,0,0,0,0,0,0,0,0,0,22575.89,0,0,0,
14,239.09474327337213,0.11623713,,,,,,,,,,,0,0,0,0,0,0,0,72088.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58640.04,0,0,0,0,0,0,0,0,0,0,53665.6,0,0,0,
16,302.0585936812227,0.12748633,,,,,,,,,,,0,0,0,0,0,0,0,45895.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20641.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27219.08,0,0,0,
18,284.0489345870886,0.1347553,,,,,,,,,,,0,0,0,121834.44,0,0,0,17150.455,0,0,0,0,0,0,89345.8,0,0,0,0,53535.973,0,0,0,0,0,0,0,0,0,0,0,0,60386.023,0,0,0,38635.613,88282.33,0,0,0,29022.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59815.754,0,144806.06,0,0,25704.719,0,0,0,0,0,0,0,173070.67,0,0,0,0,0,0,
19,161.0821633525429,0.14634602,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87374.68,0,0,0,199506.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78930.24,0,0,0,0,136238.6,0,90589.734,0,0,0,0,0,0,0,0,51648.54,0,0,0,0,0,
21,266.9991169461898,0.17148966,,,,,,,,,,,0,0,0,0,0,0,0,23756.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42892.58,0,0,0,132816.62,141297.33,0,0,0,0,0,0,0,0,0,67172.56,0,0,0,55849.34,74555.58,110131.836,0,58074.242,0,
22,250.11821473523165,0.17694609,,,,,,,,,,,0,0,0,0,0,0,0,47691.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
