"","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_BS_2.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t0_BS_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_BS_C.mzML","t7_BS_1.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_BS_1.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t7_BS_3.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t8_BS_C.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"48_284.049_0.296",30703.115,22455.541,16610.768,127769.734,45541.156,123643.766,32267.916,37703.92,87621.97,42392.98,55340.51,95007.84,55926.438,13390.084,46366.883,35389.574,28291.26,32851.21,19118.533,55845.8,48949.76,137709.25,140709.11,49614.184,27600.936,138757.31,56998.895,51965.527,17848.271,25811.098,21770.316,69214.664,55174.504,57519.418,3766,59887.89,63848.293,38388.645,69037.84,158943.36
"97_245.095_0.521",3766,3766,3766,39515.625,74559.234,54846.29,56168.523,50340.758,40212.027,73117.06,52213.004,58235.875,35272.36,68410.98,51597.926,68092.71,107118.5,173294.6,67825.43,26323.795,57153.695,43263.973,19731.477,45211.176,15515.949,71027.3,76708.1,26685.61,33890.67,29759.742,32414.438,30443.559,23509.477,63450.434,73982.305,43292.93,33443.477,34075.53,34425.598,51332.15
"105_181.097_0.521",3766,3766,3766,33512.71,54433.812,42237.44,44507.16,38951.93,28772.06,55444.434,37793.9,46323.043,27585.531,50114.707,40590.188,53135.84,81319.36,120792.055,51684.332,22198.172,45418.645,32494.002,16628.145,37822.133,14069.645,52428.34,58192.438,21808.988,28377.783,25955.826,27175.607,26428.203,18889.508,53200.41,56386.285,35945,29938.547,31561.912,31444.316,43916.453
"108_157.097_0.52",3766,3766,3766,3766,6916.565,4815.979,4450.422,4018.839,3766,3766,3925.4097,8915.874,3766,7641.581,4152.35,8625.011,4724.8047,8836.821,8736.579,6020.4536,7924.04,4953.36,3766,6946.1694,3766,12547.31,18402.957,5982.319,8676.193,6418.0977,12894.266,10768.893,9459.946,14335.186,16845.834,18751.504,15275.238,14589.145,15117.904,31121.896
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,7789.463,3766,11774.105
"114_160.076_0.522",3766,3766,3766,210562.9,401620.97,312332.62,286905.66,280762.88,209269.45,250721.6,296115.56,455202.53,275894.34,593663.9,313545,427649.62,235702.03,404429.66,567389.25,549419.3,523318.78,354050.3,242058.36,427234.22,213120.95,775052,845985.06,645107.75,700356.9,533260.25,765449.94,666837.3,578616.5,954094.75,814353.56,865996.4,717705.3,1050392.2,931383.94,1309049.9
"120_169.097_0.525",3766,3766,4054.3687,450906.5,665166.5,609720.94,580351.9,557153.4,469689.84,592457.5,586752.7,722705.4,517860.12,706034.3,615655.2,706535.7,689135.6,800889.44,776639.7,647277.1,732600,637458.6,436133.4,687120.8,378563.44,869086.94,861998.3,690748.8,755674.9,746114.56,812156.3,804205.44,665943.6,893395.44,886614.5,944350.4,891660.4,986138.44,890976.94,1347099.2
"128_318.184_0.528",3766,3766,3766,46292.85,95765.99,59607.336,66008.99,55041.586,39513.543,97965.42,58331.066,57982.47,34989.203,76976.53,56712.805,74873.24,149369.58,223605.94,69526.8,29051.9,58181.91,41064.125,18469.883,41644.047,15495.768,68529.49,76023.586,29134.365,37928.062,35676.64,33691.547,30924.4,25433.947,67408.29,68499.69,46343.188,30693.146,31603.72,32669.13,37701.316
"132_166.086_0.53",3766,3766,5476.0425,287232.12,296522.6,371337.5,284186.4,360704.12,389492.38,289555.22,347616.44,449591.38,297196.9,528019.9,392505.22,379042.6,315809.1,394232.75,386560.84,513239.78,504981.56,290715.97,299348.28,352745.8,250059.12,431465.28,381406.53,537559.06,791019.8,646935.44,761886.44,1031196.06,614734.56,383453.38,536466.56,827783.3,1217158.5,1407056.8,1163812.1,2061367.5
"134_228.121_0.534",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,25739.695,3766,114152.516,3766,3766,5685.72,7522.3774,3766,3766,3766,3766,3766,3766,3766,33090.99,3766,3766,3766,3766,3766,3766
"135_167.082_0.549",3766,3766,3766,96414.84,78358.96,98367.99,98046.75,97393.97,64049.72,99061.41,96275.4,103041.32,100183.39,103243.83,103498.8,101809.055,100402.67,84819.91,103423.18,97215.67,98346.05,104878.21,106105.086,110272.7,109248.27,106004.82,92430.43,177891.75,102927.18,116702.695,109783.03,113578.164,104176.64,96081.266,101069.875,111382.74,118802.875,127010.75,108515.78,173035.38
"137_176.093_0.531",3766,3766,3766,12500.33,16995.629,16475.09,14891.554,14024.732,10358.572,11205.268,16165.344,8942.622,13238.398,18514.387,15611.735,8017.8896,14249.701,16624.148,20754.479,13510.308,15473.155,15067.458,10602.114,14500.333,7942.071,22409.873,24531.71,16144.081,17231.451,15398.476,18807.854,18072.086,15595.077,22973.979,23013.49,7814.5835,20140.395,19574.107,21349.45,27866.867
"138_235.108_0.556",3766,3766,3766,68857.76,64738.87,67185.516,70182.05,68000.18,69459.164,56992.246,66167.99,74191.77,72319.78,68756.766,70654.75,71902.836,62106.113,45249.484,74365.61,65616.1,70623.81,72133.695,77003.15,77916.04,83713.99,53991.457,68811.2,72640.59,69137.84,76892.39,73565.48,78321.87,70074.92,50947.348,73007.99,74674.54,76417.89,79178.766,71028.07,101051.484
"139_205.01_0.539",3766,3766,3766,26884.436,31414.246,31994.63,28903.201,31282.578,27975.719,20299.82,31194.527,34892.715,30231.096,34350.438,33088.855,34397.516,27075.27,25747.06,36437.184,30734.473,33830.07,33505.97,29358.912,34295.72,27192.035,39211.258,37614.477,31673.768,35486.316,34516.023,35758.117,33725.535,31189.463,38692.22,41772.004,37989.89,31927.152,34427.31,31725.729,12399.536
"146_173.071_0.548",3766,3766,3766,44485.523,50503.55,48655.24,48274.496,48540.535,44035.59,36802.137,49235.023,52021.12,45915.36,59154.113,51695.207,52963.008,44965.844,42750.406,54761.19,56410.598,49854.242,48952.16,43937.96,50852.66,39616.535,58145.883,57107.152,61309.305,61963.402,63563.098,67513.76,64528.914,59475.312,56525.48,63844.992,70179.55,69603.6,73199.65,69514.94,104194.55
"147_265.118_0.549",3766,3766,3766,32684.512,36364.777,37436.145,35697.438,35960.246,33134.277,27464.316,36894.28,40426.363,35206.04,40033.402,37798.055,40171.53,35314.42,35473.42,42285.84,35828.97,39278.254,38872.203,32958.598,41774.797,31159.912,46732.156,45100.03,40547.613,41351.047,42641.406,45271.19,42824.9,38846.363,47098.586,46383.723,48268.105,46699.38,49868.45,45535.582,71059.81
"148_189.113_0.549",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,6015.582,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"149_179.079_0.543",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,11071.411,8457.566,9423.495,3766,3766,5721.444,3766,14678.995,16944.463,25053.395
"150_221.093_0.552",3766,3766,3766,47208.355,51360.582,55236.36,50253.293,52553.945,48846.258,36447.406,53516.95,58218.863,49444.836,58013.594,54723.797,56317.773,45490.04,45687.055,60617.594,51394.336,56083.066,54903.133,47599.73,57809.23,42145.61,61305.1,62529.027,56466.164,57479.91,57022.016,60527.168,60236.277,46192.44,64623.867,65943.836,49182.117,59760.016,64755.258,59277.105,97590.28
"151_181.133_0.614",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,5308.427,3766,3766,3766,3766,3766,3766,5545.0317,3766,3766,11078.432,7868.003,3766,11582.15,7335.9297,12483.3125,3766,3766,7296.8594,4658.4766,12973.112,3885.0913,12596.11,3791.7393,8465.598,12047.469,20675.723,13334.223,14127.183
"152_157.079_0.551",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
