"","t2_Ec_C.mzML","t2_BS_C.mzML","t1_BS_C.mzML","t0_BS_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_BS_3.mzML","t1_BS_1.mzML","t2_BS_2.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t1_BS_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t2_BS_3.mzML","t2_BS_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t0_BS_2.mzML","t4_Ec_2.mzML","t3_BS_1.mzML","t4_BS_3.mzML","t4_BS_1.mzML","t2_Ec_3.mzML","t3_BS_2.mzML","t3_BS_C.mzML","t2_Ec_2.mzML","t3_BS_3.mzML","t0_BS_3.mzML","t0_BS_1.mzML","t4_Ec_C.mzML","t4_BS_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t7_BS_1.mzML","t5_Ec_2.mzML","t4_BS_2.mzML","t5_BS_C.mzML","t5_Ec_C.mzML","t5_BS_3.mzML","t5_BS_2.mzML","t5_Ec_3.mzML","t5_BS_1.mzML","t6_Ec_2.mzML","t6_BS_C.mzML","t6_BS_1.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t7_BS_3.mzML","t8_Ec_C.mzML","t7_BS_2.mzML","t7_BS_C.mzML","t8_BS_2.mzML","t8_BS_3.mzML","t8_BS_1.mzML","t6_BS_2.mzML","t6_BS_3.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t8_BS_C.mzML","t9_Ec_2.mzML","t9_BS_C.mzML","t9_BS_3.mzML","t9_BS_1.mzML","t9_BS_2.mzML"
"48_284.049_0.296",57190.832,30703.115,22455.541,16610.768,12647.69,45817.29,36945.285,7563.9473,127769.734,45541.156,123643.766,32706.104,16108.869,32267.916,49327.13,22612.676,144551.81,42993.395,103408.12,37703.92,87621.97,141756.58,23091.436,25958.822,42392.98,71652.2,55340.51,95007.84,55926.438,25967.656,13390.084,46366.883,41705.992,35389.574,28291.26,32851.21,28448.639,19118.533,147599.69,57326.52,34622.098,55845.8,47398.54,48949.76,137709.25,49831.234,140709.11,49614.184,152404.78,27600.936,31618.234,138757.31,56998.895,147850.75,19026.871,63017.582,66731.82,34608.043,38022.945,65763.59,51978.453,51965.527,11948.842,17848.271,25811.098,21770.316,69214.664,55174.504,57519.418,3766,68534.04,62049.727,68566.64,69222.69,59887.89,56783.336,63848.293,38388.645,69037.84,158943.36
"97_245.095_0.521",3766,3766,3766,3766,3766,3766,63810.387,105098.74,39515.625,74559.234,54846.29,63696.78,142389.19,56168.523,20048.074,23827.398,55971.418,76873,117078.42,50340.758,40212.027,34443.28,62141.04,61229.266,73117.06,98329.836,52213.004,58235.875,35272.36,92136.16,68410.98,51597.926,60493.59,68092.71,107118.5,173294.6,31539.266,67825.43,23371.764,86572.7,57881.23,26323.795,49130.547,57153.695,43263.973,31332.186,19731.477,45211.176,56877.996,15515.949,48227.555,71027.3,76708.1,73141.85,36895.926,45772.766,45498.383,48804.12,64034.043,38520.805,46890.605,26685.61,46498.23,33890.67,29759.742,32414.438,30443.559,23509.477,63450.434,73982.305,31211.477,24871.02,35276.875,35860.074,43292.93,36117.336,33443.477,34075.53,34425.598,51332.15
"105_181.097_0.521",3766,3766,3766,3766,3766,3766,49561.344,75002.09,33512.71,54433.812,42237.44,46975.82,103089.67,44507.16,16139.823,16952.715,40117.45,58887.414,83179.66,38951.93,28772.06,25807.072,47373.645,43597.742,55444.434,72381.734,37793.9,46323.043,27585.531,67149.46,50114.707,40590.188,46208.46,53135.84,81319.36,120792.055,25023.504,51684.332,17744.14,65669.13,43626.12,22198.172,39957.836,45418.645,32494.002,28384.6,16628.145,37822.133,43046.98,14069.645,33569.805,52428.34,58192.438,57192.938,30222.6,34898.31,37332.293,38381.293,49773.805,31313.932,39566.18,21808.988,36490.19,28377.783,25955.826,27175.607,26428.203,18889.508,53200.41,56386.285,27539.812,20862.38,29850.8,29398.756,35945,31549.182,29938.547,31561.912,31444.316,43916.453
"108_157.097_0.52",3766,3766,3766,3766,3766,3766,3766,10152.913,3766,6916.565,4815.979,4479.917,14823.354,4450.422,3766,3766,6967.5522,5438.5356,19153.61,4018.839,3766,3766,7097.643,6200.591,3766,19682.703,3925.4097,8915.874,3766,11528.107,7641.581,4152.35,5570.562,8625.011,4724.8047,8836.821,3766,8736.579,3766,17488.734,4663.913,6020.4536,5594.8633,7924.04,4953.36,3766,3766,6946.1694,6411.3394,3766,10073.91,12547.31,18402.957,15325.049,4354.981,13108.853,15954.139,12195.675,24851.158,8405.92,14179.171,5982.319,15465.478,8676.193,6418.0977,12894.266,10768.893,9459.946,14335.186,16845.834,8375.27,4496.8564,12493.275,9081.304,18751.504,10506.501,15275.238,14589.145,15117.904,31121.896
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4795.058,7789.463,3766,11774.105
"114_160.076_0.522",3766,3766,3766,3766,3766,3766,183770.88,304328.34,210562.9,401620.97,312332.62,178118.66,412781.25,286905.66,144607.38,151759.14,280436,196100.77,476177.03,280762.88,209269.45,116820.19,355598.12,329247.16,250721.6,495482.03,296115.56,455202.53,275894.34,342406.94,593663.9,313545,343029.94,427649.62,235702.03,404429.66,247149.9,567389.25,164709.86,474401.5,245774.98,549419.3,251285.4,523318.78,354050.3,197983.47,242058.36,427234.22,257045.97,213120.95,341570,775052,845985.06,488413.75,258450.8,462201.34,507759.53,449601.6,733189.25,383483,505073.88,645107.75,490937.5,700356.9,533260.25,765449.94,666837.3,578616.5,954094.75,814353.56,314942.34,177482.83,435275.94,275424.5,865996.4,239300.45,717705.3,1050392.2,931383.94,1309049.9
"120_169.097_0.525",3766,3766,3766,4054.3687,3766,3766,540843.4,741372.4,450906.5,665166.5,609720.94,563904.4,888572.06,580351.9,453367.34,318398.78,674889.5,620459.44,849212.2,557153.4,469689.84,387611.62,716681.6,702895.6,592457.5,900353.94,586752.7,722705.4,517860.12,790937.25,706034.3,615655.2,686544.8,706535.7,689135.6,800889.44,507097.62,776639.7,450944.72,915693.6,628391.44,647277.1,654444.94,732600,637458.6,533841.94,436133.4,687120.8,720186.44,378563.44,727423.94,869086.94,861998.3,900098.7,644932.75,822500.8,908421.5,852338.94,953751.1,771301.94,917014.3,690748.8,888778.94,755674.9,746114.56,812156.3,804205.44,665943.6,893395.44,886614.5,755401.25,684815.56,826362.56,903869.4,944350.4,826194.44,891660.4,986138.44,890976.94,1347099.2
"128_318.184_0.528",3766,3766,3766,3766,3766,3766,76569.79,139332.52,46292.85,95765.99,59607.336,63646.945,195599.3,66008.99,22599.83,24406.703,60260.656,81481.336,137294.88,55041.586,39513.543,38482.867,62973.17,62674.03,97965.42,102201.516,58331.066,57982.47,34989.203,98435.42,76976.53,56712.805,67755.55,74873.24,149369.58,223605.94,29426.156,69526.8,22869.258,83234.76,53159.79,29051.9,43684.74,58181.91,41064.125,29669.941,18469.883,41644.047,53243.246,15495.768,56174.816,68529.49,76023.586,70540.53,42949.285,50802.438,44656.016,46362.133,71221.9,38619.9,42720.086,29134.365,43765.18,37928.062,35676.64,33691.547,30924.4,25433.947,67408.29,68499.69,29133.348,19969.846,34109.47,29521.16,46343.188,31170.654,30693.146,31603.72,32669.13,37701.316
"132_166.086_0.53",3766,3766,3766,5476.0425,4464.22,3766,285792.3,391348.56,287232.12,296522.6,371337.5,280959.06,352751.03,284186.4,322712.2,275048.1,285779.25,303120.84,352444.06,360704.12,389492.38,298627.62,474972.25,430331.97,289555.22,410411.84,347616.44,449591.38,297196.9,350997.56,528019.9,392505.22,281502.5,379042.6,315809.1,394232.75,344610.28,386560.84,243557.58,386360.94,308576.16,513239.78,322673.78,504981.56,290715.97,331286.5,299348.28,352745.8,622129.75,250059.12,417704.6,431465.28,381406.53,829972.4,354802.2,700751.6,328691.88,328767.72,543273.75,340746.4,331318,537559.06,349964.84,791019.8,646935.44,761886.44,1031196.06,614734.56,383453.38,536466.56,317894.03,410423.06,333462.03,459091.6,827783.3,495834.94,1217158.5,1407056.8,1163812.1,2061367.5
"134_228.121_0.534",3766,3766,3766,3766,3766,3766,3766,6958.1777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,23281.645,3766,3766,25739.695,3766,3766,114152.516,3766,3766,3766,3766,5685.72,3766,7522.3774,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,33090.99,3766,3766,3766,3766,7126.2993,3766,4413.1353,3766,3766,3766,3766
