row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Peak area,
39899,150.12771801358892,15.91505,,,,,,,,,,,314479.06,328367.0,341852.47,319392.25,311834.8,294450.0,289554.88,309798.8,301694.75,275795.66,299175.8,276375.8,297763.12,294452.34,310736.38,271224.75,
725,152.0707268033411,3.2523148,,,,,,,,,,,0,0,0,0,54793.09,65077.08,62091.973,65684.95,59132.383,63070.285,75374.195,77477.0,76915.33,73175.08,72739.46,75286.51,
1105,152.10702237305856,4.7372684,,,,,,,,,,,0,79481.29,73926.81,75761.62,0,0,0,0,0,0,27020.115,30656.021,34365.83,47937.977,48518.273,53590.48,
39939,152.99505803382095,16.09217,,,,,,,,,,,109217.74,82629.68,98328.55,80933.125,82283.31,0,0,0,0,74337.164,86491.5,69883.56,0,78858.71,80752.22,79900.84,
21233,153.09104645142978,8.525323,,,,,,,,,,,0,0,0,0,216016.23,235601.08,167290.8,224237.86,191593.34,225893.94,225190.95,236631.94,237659.23,136346.1,143093.28,177747.2,
39885,153.1386210473794,15.877678,,,,,,,,,,,629542.8,499826.44,538539.56,518349.44,474049.94,465346.2,460812.72,463830.22,519151.22,421785.75,438362.4,403150.34,422956.78,450506.53,460547.8,398762.47,
2431,153.13872696587953,5.3861628,,,,,,,,,,,0,207134.48,180359.25,211909.86,0,0,0,0,0,0,29363.96,40957.547,46186.895,121025.35,131464.4,129922.914,
39931,153.9934572606134,16.073889,,,,,,,,,,,133440.4,88117.17,101823.25,95584.53,84482.68,62505.094,70484.914,68576.82,90790.62,59799.5,0,0,36709.953,0,74833.32,0,
306,153.99778566758386,0.9334192,,,,,,,,,,,74308.96,78130.7,78154.445,83062.734,0,0,0,0,0,0,0,0,0,0,0,30494.0,
39938,154.99027591493098,16.090664,,,,,,,,,,,2322603.5,1474546.6,2194106.5,1477721.1,1380763.5,1778547.8,1632871.8,1512343.6,1594459.0,1386914.8,1450541.9,1261110.4,1210896.2,1434393.1,1460117.1,1032037.8,
