ID1,ID2,EdgeType,Score,Annotation
257,258,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9823
369,370,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
370,371,MS1 annotation,3.000,[2M-2H2O+2H]2+ [M+Na]+ dm/z=39.9928
373,374,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9820
386,387,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9820
392,393,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9828
399,400,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
399,400,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
415,416,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9834
415,416,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9834
443,447,MS1 annotation,2.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9921
444,448,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9555
444,447,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
447,448,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
572,574,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9825
572,573,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
573,574,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
575,580,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0264
575,580,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0264
583,585,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9822
583,585,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9822
694,698,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
704,712,MS1 annotation,2.000,[M-2H2O+Na]+ [M+NH4]+ dm/z=31.0675
707,709,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
707,708,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
708,709,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
756,759,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9926
758,759,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
806,807,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0268
806,807,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0268
832,833,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
832,833,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0265
849,852,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
849,852,MS1 annotation,2.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
999,1002,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
999,1000,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9553
1000,1002,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1078,1090,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
