row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML Peak area,
5900,150.02668831361854,12.381069,,,,185,134,[M-H2O+K]+,,2,5905;5900,129.0737,26834.363,55512.453,53598.914,66385.22,53399.11,54353.54,52998.11,52379.11,49633.035,57580.883,64698.75,64112.86,62386.29,81643.21,83582.734,75137.07,
7726,150.12774590558053,15.91505,,,,115,,,,,,,322781.97,341862.9,356567.22,335273.7,309871.2,297437.12,298495.2,316066.56,280151.5,314194.56,301103.28,280326.8,310458.94,316294.78,298293.44,275336.47,
3615,151.11176226737004,9.684117,,,,191,53,[M-H2O+NH4]+,,2,3610;3615,151.0876,0,0,0,0,88818.61,91449.84,123999.58,72892.234,72474.91,86713.87,107936.65,90535.35,92659.64,95607.414,84885.34,92654.02,
494,152.10707321382296,4.738045,,,,,,,,,,,0,80055.46,74059.586,76111.79,13071.65,13282.062,10652.106,9233.088,17380.75,3936.4995,26129.21,25374.934,23628.1,40826.43,48682.395,42702.38,
3126,153.09099757772745,8.525325,,,,,,,,,,,0,0,0,0,194286.9,189326.75,235400.44,201655.44,215591.77,221566.31,234986.17,238839.39,226318.05,145115.98,139233.22,171750.98,
7718,153.13862854008494,15.879117,,,,80,,,,,,,630689.8,504644.3,546892.94,527101.25,524913.56,483516.84,476375.2,504660.1,431051.75,471374.84,429941.7,412374.7,448385.28,474717.1,452052.4,408503.22,
724,153.13866760528808,5.390511,,,,,,,,,,,0,212566.36,121641.4,213392.14,8692.169,8439.676,0,0,9102.462,0,47993.26,40643.105,22815.648,135856.67,134512.4,135126.06,
7751,153.99347066550482,16.073696,,,,471,,,,,,,135725.9,89205.26,102329.24,96066.74,92928.555,71734.195,63905.375,85841.336,64783.707,69387.54,33474.95,37034.156,44475.414,79056.39,48701.67,37967.316,
187,153.99786049337692,0.9420237,,,,,,,,,,,75437.25,81210.18,81497.82,85629.05,6166.9253,17885.53,26360.152,15083.335,19237.371,23230.65,21174.959,22003.076,20381.84,16415.8,16568.398,24710.822,
2,154.99019306194654,0.023131214,,,,0,,,,,,,719851.44,179462.47,246200.75,218252.5,433776.06,332040.56,243491.22,423381.06,335254.03,249368.17,270903.9,310947.94,412579.75,253410.9,319629.06,484619.78,
7755,154.99032537517445,16.090664,,,,35,,,,,,,2743371.5,1938756.5,3007004.0,1497950.1,2216575.2,1867598.0,1950226.9,1762720.2,1809081.0,1244344.6,1636428.1,1739128.5,1486053.8,1494366.9,3074072.5,1480075.5,
7761,156.99080807070098,16.099293,,,,,,,,,,,75922.67,183804.33,218005.17,160991.47,198461.47,157465.64,40547.883,173073.27,137563.97,136878.2,103659.586,41485.27,137655.61,166595.23,138150.5,42297.957,
7746,156.9908352005044,16.000738,,,,336,,,,,,,302949.06,48507.65,69139.3,0,51737.76,45504.477,30072.094,42260.547,30208.078,33933.305,23853.045,14512.421,34605.367,41348.348,42314.25,13594.647,
3994,157.10120209640928,10.486893,,,,31,,,,,,,0,0,0,0,61277.125,64415.734,59660.086,58953.492,58878.953,72545.66,73783.61,68608.625,79142.02,105480.26,99552.164,104682.83,
480,158.09651661315053,4.699714,,,,,,,,,,,0,0,4230.591,0,158486.98,63555.76,135441.61,185849.1,152527.08,167359.47,189614.48,189814.78,179699.17,130959.01,113440.05,192133.47,
3630,158.15397230243937,9.707368,,,,,,,,,,,0,113480.08,96463.47,98573.3,130394.164,130174.766,125169.766,112410.28,139707.34,128730.17,165643.97,179723.14,167225.03,29725.38,37863.93,36029.86,
3681,158.15401248614228,9.836072,,,,342,,,,,,,891739.75,714914.4,664922.5,671493.4,2068161.5,2106385.0,1996571.0,1941847.4,1983215.5,2144087.2,2309499.5,2393619.5,2343383.5,1888197.0,1973827.2,1961022.6,
4256,159.11675847746187,10.771462,,,,77,,,,,,,0,0,0,0,76693.65,96301.15,77694.13,76412.2,104123.31,73209.23,104461.99,112714.16,87909.875,149735.7,103441.484,106454.25,
993,160.07573303456093,5.8086686,,,,374,,,,,,,0,0,0,0,122976.8,130333.37,110806.02,131869.62,149144.73,123219.83,174041.17,168169.86,173039.22,99507.484,69424.336,71854.24,
299,160.07583171706244,1.4196647,,,,,,,,,,,0,0,0,0,34858.227,41295.35,35855.23,37776.09,41407.15,35405.71,39680.26,37331.12,43021.49,40953.7,38532.676,35524.65,
7571,161.082068438071,14.732809,,,,,,,,,,,41668.234,39490.92,50681.92,36226.39,38156.184,51525.883,50811.344,0,34979.438,43099.984,32756.816,535480.8,38005.656,56643.33,23659.195,48524.863,
7615,161.08208926878083,15.083648,,,,365,,,,,,,0,57800.086,42044.223,514114.8,51626.684,56697.41,55621.746,0,0,51566.336,62921.816,53202.516,41568.99,54985.945,365838.47,27988.105,
7558,161.08210576149673,14.705446,,,,,,,,,,,0,64977.242,39612.945,331229.9,18974.906,47524.41,50721.55,0,29381.43,46551.203,274401.88,31804.652,31319.316,55521.773,163050.66,61237.574,
7520,161.08217645603906,14.26794,,,,545,,,,,,,11005.216,21918.543,124045.984,0,31881.693,35627.58,0,34195.766,18260.355,16442.682,37681.562,0,19439.598,18510.672,27871.074,121729.94,
3617,161.0960694735865,9.687753,,,,191,,,,,,,0,0,2235.6123,0,102865.9,107349.234,107779.22,125447.05,108631.64,107048.9,137742.94,156083.78,131197.89,213803.72,159393.11,258779.78,
3357,161.09607616847796,9.125134,,,,,,,,,,,0,0,0,0,17384.174,40665.22,30514.926,29282.67,0,36236.49,0,40719.953,44326.887,136768.23,259205.44,129210.875,
3404,161.09609458573487,9.211548,,,,234,,,,,,,0,0,0,0,68194.4,78030.22,76709.83,73353.99,95572.92,83908.375,130098.234,144877.67,94308.01,113449.22,136155.28,145224.84,
7720,161.10726469006565,15.905886,,,,,,,,,,,32063.02,27700.125,28336.723,29412.732,29357.934,26607.547,26085.879,28263.4,26366.16,26883.328,27895.13,24997.127,25123.03,27099.184,25955.656,25544.695,
7663,161.10732402327292,15.707738,,,,,,,,,,,0,0,151983.94,55008.55,0,0,33950.582,51042.63,0,0,0,0,0,0,24224.504,0,
7670,161.10732996476088,15.747607,,,,285,,,,,,,180455.67,146153.6,44928.125,155625.22,151729.62,141451.1,149718.36,147062.36,122498.31,108815.555,129758.66,124334.375,132177.27,134651.12,135987.48,132751.14,
4212,161.13239159588798,10.749427,,,,77,,,,,,,0,0,0,0,159783.52,120617.3,132222.8,111748.31,114770.15,131122.34,155920.66,145834.92,156856.89,141465.66,113038.28,148832.08,
4456,161.13251240530792,11.055987,,,,87,,,,,,,0,0,0,0,175156.33,107294.75,109670.67,128916.05,127068.445,114947.6,150668.06,147011.61,150581.75,227120.31,260136.44,246099.1,
1581,162.05497993927682,6.4186225,,,,,,,,,,,0,2237.1619,0,2178.354,49103.57,48173.94,48481.895,44396.25,51202.938,39137.59,59407.72,55770.08,58687.54,134242.78,115128.664,116505.26,
375,162.0549852790128,3.1330707,,,,,,,,,,,0,0,0,0,78866.25,78680.07,79387.016,77412.67,82586.12,83541.445,94198.65,61236.133,89279.195,82996.84,80928.63,88761.414,
6373,163.03888441542972,12.677438,,,,,,,,,,,0,0,0,0,12777.488,12780.416,11623.652,6778.796,14259.02,12863.897,21829.945,20389.293,23725.426,76898.586,78362.08,80846.195,
3083,163.03893823461792,8.422804,,,,,,,,,,,0,0,0,0,370647.12,345784.06,343723.97,344494.78,357651.84,343513.1,439438.7,463341.03,438162.47,324390.34,303757.7,328350.16,
4639,163.03896731432835,11.260867,,,,132,,,,,,,0,0,0,0,102876.43,96255.97,99486.086,108394.5,100166.18,107343.945,111226.34,121897.28,112699.875,268588.06,262771.56,284801.5,
3594,163.11170621829123,9.655539,,,,340,,,,,,,0,591128.6,528086.94,606218.1,72538.586,83012.99,19452.102,34634.863,89109.36,38490.375,209688.31,201563.17,234435.83,637522.75,641918.56,614445.0,
6064,163.14802721034542,12.505507,,,,326,,,,,,,0,0,0,0,189788.94,157407.5,164372.72,110310.1,159803.55,156183.0,252241.61,239716.55,206123.84,383556.34,386698.22,358722.84,
4058,163.14808598259455,10.54702,,,,268,63,[M+H]+,,2,4052;4058,162.1408,0,0,0,0,87695.59,95331.86,98627.61,79969.44,90567.47,93557.77,119222.24,112158.84,116605.81,19836.494,17385.344,19948.223,
2491,164.07061458692618,7.445662,,,,,,,,,,,0,34554.74,49053.6,38864.74,17496.879,0,14907.343,9305.158,15429.855,10313.128,15199.978,22968.205,21302.113,26029.055,18914.15,20557.666,
7728,164.14341527399998,15.919052,,,,115,,,,,,,319643.03,300603.0,294551.0,303020.5,276916.7,265303.53,268802.84,268946.34,255099.61,263856.72,252942.62,236088.83,266749.72,276687.8,256535.1,247335.5,
1611,164.14347592220506,6.4412994,,,,,,,,,,,0,511530.4,523387.72,516879.28,3909.5557,5624.1797,0,0,5041.963,0,29983.166,31276.828,21675.242,83597.86,227148.61,86889.56,
180,164.92063197599404,0.8600965,,,,,,,,,,,14797.474,0,0,0,138793.44,55439.35,57692.15,153592.64,51861.906,75998.76,82293.13,72431.836,100889.02,135675.22,147396.55,60516.445,
