"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"3615_151.112_9.684",92659.64,107936.65,90535.35,84885.34,95607.414,92654.02,88818.61,91449.84,72474.91,72892.234,86713.87,123999.58
"494_152.107_4.738",23628.1,26129.21,25374.934,48682.395,40826.43,42702.38,13071.65,13282.062,17380.75,9233.088,3936.4995,10652.106
"3126_153.091_8.525",226318.05,234986.17,238839.39,139233.22,145115.98,171750.98,194286.9,189326.75,215591.77,201655.44,221566.31,235400.44
"724_153.139_5.391",22815.648,47993.26,40643.105,134512.4,135856.67,135126.06,8692.169,8439.676,9102.462,0,0,0
"3994_157.101_10.487",79142.02,73783.61,68608.625,99552.164,105480.26,104682.83,61277.125,64415.734,58878.953,58953.492,72545.66,59660.086
"480_158.097_4.7",179699.17,189614.48,189814.78,113440.05,130959.01,192133.47,158486.98,63555.76,152527.08,185849.1,167359.47,135441.61
"3630_158.154_9.707",167225.03,165643.97,179723.14,37863.93,29725.38,36029.86,130394.164,130174.766,139707.34,112410.28,128730.17,125169.766
"4256_159.117_10.771",87909.875,104461.99,112714.16,103441.484,149735.7,106454.25,76693.65,96301.15,104123.31,76412.2,73209.23,77694.13
"993_160.076_5.809",173039.22,174041.17,168169.86,69424.336,99507.484,71854.24,122976.8,130333.37,149144.73,131869.62,123219.83,110806.02
"299_160.076_1.42",43021.49,39680.26,37331.12,38532.676,40953.7,35524.65,34858.227,41295.35,41407.15,37776.09,35405.71,35855.23
"7615_161.082_15.084",41568.99,62921.816,53202.516,365838.47,54985.945,27988.105,51626.684,56697.41,0,0,51566.336,55621.746
"7558_161.082_14.705",31319.316,274401.88,31804.652,163050.66,55521.773,61237.574,18974.906,47524.41,29381.43,0,46551.203,50721.55
"3617_161.096_9.688",131197.89,137742.94,156083.78,159393.11,213803.72,258779.78,102865.9,107349.234,108631.64,125447.05,107048.9,107779.22
"3357_161.096_9.125",44326.887,0,40719.953,259205.44,136768.23,129210.875,17384.174,40665.22,0,29282.67,36236.49,30514.926
"3404_161.096_9.212",94308.01,130098.234,144877.67,136155.28,113449.22,145224.84,68194.4,78030.22,95572.92,73353.99,83908.375,76709.83
"7663_161.107_15.708",0,0,0,24224.504,0,0,0,0,0,51042.63,0,33950.582
"4212_161.132_10.749",156856.89,155920.66,145834.92,113038.28,141465.66,148832.08,159783.52,120617.3,114770.15,111748.31,131122.34,132222.8
"4456_161.133_11.056",150581.75,150668.06,147011.61,260136.44,227120.31,246099.1,175156.33,107294.75,127068.445,128916.05,114947.6,109670.67
"1581_162.055_6.419",58687.54,59407.72,55770.08,115128.664,134242.78,116505.26,49103.57,48173.94,51202.938,44396.25,39137.59,48481.895
"375_162.055_3.133",89279.195,94198.65,61236.133,80928.63,82996.84,88761.414,78866.25,78680.07,82586.12,77412.67,83541.445,79387.016
"6373_163.039_12.677",23725.426,21829.945,20389.293,78362.08,76898.586,80846.195,12777.488,12780.416,14259.02,6778.796,12863.897,11623.652
"3083_163.039_8.423",438162.47,439438.7,463341.03,303757.7,324390.34,328350.16,370647.12,345784.06,357651.84,344494.78,343513.1,343723.97
"4639_163.039_11.261",112699.875,111226.34,121897.28,262771.56,268588.06,284801.5,102876.43,96255.97,100166.18,108394.5,107343.945,99486.086
"3594_163.112_9.656",234435.83,209688.31,201563.17,641918.56,637522.75,614445,72538.586,83012.99,89109.36,34634.863,38490.375,19452.102
"6064_163.148_12.506",206123.84,252241.61,239716.55,386698.22,383556.34,358722.84,189788.94,157407.5,159803.55,110310.1,156183,164372.72
"4058_163.148_10.547",116605.81,119222.24,112158.84,17385.344,19836.494,19948.223,87695.59,95331.86,90567.47,79969.44,93557.77,98627.61
"2491_164.071_7.446",21302.113,15199.978,22968.205,18914.15,26029.055,20557.666,17496.879,0,15429.855,9305.158,10313.128,14907.343
"1611_164.143_6.441",21675.242,29983.166,31276.828,227148.61,83597.86,86889.56,3909.5557,5624.1797,5041.963,0,0,0
"180_164.921_0.86",100889.02,82293.13,72431.836,147396.55,135675.22,60516.445,138793.44,55439.35,51861.906,153592.64,75998.76,57692.15
"1192_166.123_6.07",23086.084,24660.162,44423.426,105403.6,109666.516,120957.61,7516.641,5501.01,7387.3013,0,0,0
"3568_167.107_9.57",51276.445,62307.234,58643.71,100076.01,120087.836,112867.35,21714.133,26914.473,26054.775,24583.646,18030.127,20538.78
"5614_167.143_12.167",67083.6,64691.977,57705.76,73521.4,78558.56,110237.91,49386.223,38964.723,30425.41,39855.844,39922.03,38869.203
"1347_167.154_6.193",25329.553,21281.39,22103.828,44518.266,51186.383,51487.324,2426.727,1813.9097,1867.071,0,0,0
"1350_168.088_6.196",212005.25,200535.97,207420.97,462426.56,470942.16,498218.62,135086.75,144279.81,139916.95,153562.3,168891.16,169842.75
"313_168.138_1.479",23198.01,22258.404,23020.041,88189.49,91835.664,84702.8,0,2651.2068,0,0,0,0
"1721_169.086_6.554",43924.54,46814.207,50867.168,48264.938,34465.242,42250.58,42884.87,35646.477,39307.273,40135.25,34292.492,42778.87
"1961_169.086_6.824",160728.36,173557.61,241271.86,188119.52,193472.78,204728.36,119209.87,120937.48,117796.47,120585.06,129354.41,132343.78
"2250_170.096_7.149",487332.66,518444.47,550997.6,403772.5,444106.7,455403.56,496369.2,475581.9,466498.1,476806.94,471083.9,484005.56
"4450_171.117_11.055",63432.746,67757.31,73992.7,61498.473,88110.33,90835.43,41305.844,45082.03,46964.47,56812.086,58979.445,55610.676
"3853_171.138_10.219",70574.914,79155.33,77547.81,48700.133,49769.566,60392.32,64102.414,70920.64,73209.66,60638.617,65292.35,70444.55
"2458_171.149_7.389",78758.27,81919.89,85711.66,83407.06,91838.21,93817.305,65471.336,65666.875,70904.46,68039.41,68482.484,64143.54
"4056_172.17_10.548",376652.38,326039.94,305150.1,62353.64,64034.594,74077.08,294475.06,279972.9,296041.78,273214.9,296005.84,273014.44
"3921_172.17_10.369",99285.15,126480.77,100154.79,118714.625,136550.75,69308.58,131571.45,80432.516,79708.64,142551.16,117429.35,75916.484
"3771_172.17_10.05",1978641.5,1964167.6,1954130,1804519.1,1696974.6,1788135.9,1718990.1,1790589,1719319,1671201,1680863.1,1674190.9
"6055_173.132_12.502",87495.32,104603.445,110373.47,190966.39,207830.2,184658.8,85953.39,69115.836,81862.734,60412.33,75131.58,77842.61
"4053_173.132_10.545",109477.95,95665.25,96918.625,40073.527,59223.875,44546.875,86502.8,62141,68662.79,43322.902,77239.55,65755.44
"4609_173.133_11.248",87037.88,74776.83,93978.11,231873.31,145732.94,95413.27,55891.773,75854.15,62568.906,57833.523,63940.49,64970.484
"4565_173.133_11.186",136453.77,146706.84,159476.97,103697.44,93137.54,104254.5,60688.8,100751.4,181552.92,84400.08,72235.64,65563.89
"4788_173.133_11.424",54224.758,52480.94,77769.234,53944.797,61222.684,60667.324,47273.164,55642.08,46270.414,78210.6,50937.28,52056.152
"5582_174.128_12.14",55072.125,55261.527,56612.59,26694.074,29717.074,23896.6,50188.04,50578.902,56356.508,61472.152,41850.36,53928.31
"3791_175.112_10.071",94382.195,86053,130551.96,113457.98,136197.34,179227.45,82054.39,74988.625,81022.484,71394.62,78681.14,78816.01
"3132_175.112_8.531",70768.96,43808.86,80560.07,74208.03,77754.5,103504.125,58725.008,50796.79,50628.918,45504.883,48527.53,0
"3998_175.112_10.487",208398.1,136452.77,140614.25,160249.52,262816.25,185189.97,158486.67,158318.6,125979.48,108912.67,106890.43,136633
"7645_175.123_15.573",47468.637,47926.266,20319.5,0,0,20054.963,53417.19,34731.742,21822.043,39645.93,72922.125,58388.754
"7662_175.123_15.701",0,0,0,46955.293,0,0,110653.45,125311.16,0,133387.08,0,401139.7
