"","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"725_152.071_3.252",8115,8115,8115,75374.195,76915.33,77477,73175.08,72739.46,75286.51,59132.383,62091.973,63070.285,54793.09,65684.95,65077.08
"1105_152.107_4.734",73926.81,75761.62,79481.29,27020.115,34365.83,30656.021,47937.977,48518.273,53590.48,14726.919,13063.939,20211.174,9119.948,12656.365,10552.453
"21233_153.091_8.525",8115,8115,8115,225190.95,237659.23,236631.94,136346.1,143093.28,177747.2,191593.34,167290.8,225893.94,216016.23,224237.86,235601.08
"2431_153.139_5.391",180359.25,211909.86,207134.48,29363.96,46186.895,40957.547,121025.35,131464.4,129922.914,8422.089,9051.153,10725.528,8115,8115,8115
"29517_157.101_10.487",8115,8115,8115,71343.02,82697.29,67153.984,128506.03,143593.75,103605.84,65401.074,64061.84,58416.246,57274.22,63363.5,59016.21
"1064_158.097_4.708",8115,13308.729,18052.252,129383.695,138584.53,172888.81,112905.93,128750.086,141072.06,127666.73,117818.77,150741.73,120658.32,145458.47,97648.51
"26713_158.154_9.707",93390.32,97319.93,105908.54,164203.8,163637.66,176019.48,28441.678,32720.084,29002.008,114320.9,140762.69,136901.05,100818.91,114520.08,120999.34
"30776_159.117_10.771",8115,8115,8115,131556.3,103880.48,111611.914,267293.75,237352.88,140196.64,111145.44,95702.64,118411.01,87693.78,94613.66,77111.016
"35547_159.117_12.158",8115,8115,8115,86565.445,87226.39,60114.65,59101.727,67396.44,75238.78,67231.06,61126.78,59960.68,47935.332,48866.008,47186.84
"542_160.076_1.42",8115,8115,8115,42241.05,38578.973,36412.934,32380.98,29624.184,35465.688,43599.637,44541.797,46012.812,37083,39918.047,44146.93
"4058_160.076_5.809",8115,8115,8115,190964.69,176501.27,171739.34,68527.9,101385.86,75251.375,134182.03,142873.61,151843.1,172990.25,170673.27,148288.84
"39685_161.082_15.026",67599.305,64321.777,111820.7,293952.5,199865.72,62968.715,98533.984,87504.984,473804.6,249882.7,79836.125,125036.27,136585.36,90890.96,270216.34
"16862_161.096_7.932",8115,8115,8115,274926.8,267599.72,293264.94,188368.11,94225.54,203268.61,241818.47,253657.5,76924.4,212631,274622.72,154969.6
"24663_161.096_9.198",8115,8115,8115,166949.73,135140,170202.92,176980.81,302275.62,308684.47,107778.36,68530.94,102251,86908.805,84146.33,76726
"26656_161.096_9.688",8115,8115,8115,146366.11,155970.27,154496.08,209111.17,190634.1,274987.6,123414.91,105326.8,114855.49,124824.87,130723.54,153501.52
"7206_161.096_6.416",38024.484,37627.14,35358.414,55833.176,67480.86,65991.96,77136.555,82396.12,103310.375,42405.535,57616.766,62494.117,68011.16,58349.863,63294.094
"9560_161.096_6.809",49587.867,53213.473,54803.35,101134.3,81576.125,63486.07,113343.68,124834.15,64682.43,88048.71,58296.742,78839.336,59690.82,77786.98,78708.45
"30646_161.132_10.748",8115,8115,8115,150440.48,155640.38,148168.62,109773.555,137298.03,159918.06,102937.414,112730.234,111673.98,108624.02,126298.35,166316.08
"31892_161.133_11.064",8115,8115,8115,152525.06,137308.42,139698.06,181714.38,222071.33,143927.86,112272.36,101651.24,121651.62,122658.875,111855.25,104383.72
"7306_162.055_6.419",8115,8115,8115,57508.293,57420.676,53216.086,109299.68,120168.65,113072.11,46680.723,46529.89,47621.402,42662.992,38058.387,46254.2
"719_162.055_3.129",8115,8115,8115,86570.836,89759.62,89765.08,77087.09,80976,85402.33,75332.766,75305.77,78510.82,73242.69,80606.11,75615.3
"1026_162.128_4.645",115995.76,131747.69,114146.09,8115,8115,8115,32614.914,23269.365,27646.266,8115,8115,8115,8115,8115,8115
"37124_163.039_12.677",8115,8115,8115,18990.32,15222.358,17129.08,79167.28,76507.23,76720.62,12181.198,12194.99,11658.078,8115,12226.487,10993.946
"20592_163.039_8.423",8115,8115,8115,414884.88,418785.72,428785.1,290767.72,306019.84,321443.97,339758.4,338439.22,342035.38,317005.84,327696.4,328755.2
"32665_163.039_11.261",8115,8115,8115,111793.97,118595.805,116404.26,253954.52,275121.9,274581.3,98539.125,105737.83,98802.05,104485.58,108617.43,108150.67
"23554_163.075_8.973",31624.562,40150.33,41149.203,64744.984,138557.94,68782.15,224318.38,147723.14,127863.6,55573.12,23256.768,49455.816,60623.57,34252.547,17604.828
"26570_163.112_9.662",502206.72,550880.8,572657.6,246488.44,220099.27,197398.36,531082.75,585192.06,617146.56,75820.08,82553.56,93518.445,61296.023,49316.992,69459.82
"23465_163.112_8.925",33954.582,32440.258,36841.824,68948.14,32122.484,62643.7,79978.2,112921.52,123753.875,27207.734,22904.62,44550.336,49779.453,43789.418,32650.244
"36528_163.148_12.506",8115,8115,8115,185275.1,222756.31,207275.66,344247.47,339248.9,310629.94,186313.55,149642.16,150794.17,107341.5,139214.19,127605.91
"29752_163.148_10.547",8115,8115,8115,116015.57,117749.266,110389.51,13953.988,17049.932,19892.756,85735.02,94666.76,90289.016,76680.94,93274.234,95903.69
"13557_164.071_7.392",35317.13,32213.324,33764.02,19408.117,24028.559,22033.018,25308.049,19857.492,25555.99,11804.1455,16257.128,12804.5,18084.02,12714.376,16517.766
"487_164.093_1.255",17065.924,17252.53,15867.418,30472.32,30528.441,27429.777,41164.105,38199.26,47241.34,21109.297,24547.838,23189.096,21205.389,22912.08,20980.566
"575_164.107_1.465",49016.043,42756.312,39427.555,20502.115,16549.518,14709.497,36435.08,38636.21,32348.596,8115,8115,8115,8115,8115,8115
"5482_164.143_6.118",107062.08,66796.66,105229.09,11348.635,8115,8115,15845.249,61719.465,46744.414,8115,8115,8115,8115,8115,8115
"6933_164.143_6.413",356679.5,503304.5,387204.12,62463.61,61721.277,32237.86,225689.27,211363.97,82546.86,8115,8115,8115,8115,8115,8115
"10261_164.143_6.924",67994.01,133880.84,140096.02,8115,8115,8115,48545.582,32379.342,18013.375,8115,8115,8115,8115,8115,8115
"17228_165.055_7.907",8115,8115,8115,15140.982,8115,8888.63,10901.681,17044.904,8115,21594.04,8115,10733.803,19214.758,11265.41,19719.738
"20657_165.055_8.431",8115,8115,8115,34913.242,29885.35,24765.502,26570.09,35784.676,39330.348,19225.291,30898.19,26186.996,21019.275,24497.67,28485.71
"18090_165.055_8.013",8115,8115,8115,10141.509,15330.668,23300.36,8670.729,18225.646,35152.066,18608.424,8115,9677.254,8115,9152.546,8115
"656_166.086_2.178",8115,8115,8115,67790.24,66398.09,70847.85,76119.11,64780.45,70763.766,36496.15,66547.19,44454.24,55086.42,42180.746,67526.33
"3187_166.123_5.614",19080.654,19137.992,16990.877,8115,8115,8115,14848.628,13720.529,15191.6,8115,8115,8115,8115,8115,8115
"5256_166.123_6.079",189170.27,186394.8,193660.58,12141.043,34771.89,28081.305,106128.49,59642.133,60844.418,8115,8115,9211.493,8115,8115,8115
"26240_167.107_9.57",58720.066,73196.48,74994.8,58741.793,53367.453,62531.62,117092.44,119602,116999.65,31560.969,41984.4,31917.209,22984.918,19893.13,22862.947
"35543_167.143_12.167",8115,8115,8115,63797.023,61769.586,54628.57,69970.016,74887,99967.62,47083.555,37434.934,28476.215,38030.855,39632.438,38752.457
"6023_167.154_6.193",81765.97,85638.75,86736.46,25187.58,22012.504,21971.816,45542.574,51006.484,51008.59,8115,8115,8115,8115,8115,8115
"6049_168.088_6.196",8115,8115,8115,211582.14,199348.36,206114.66,455354.34,467811.2,494741.38,131907.36,143756.95,138955.52,153135.28,168453.02,168705.97
"577_168.138_1.479",94058.59,90050.26,85550.9,28505.465,26535.748,27479.96,87948.93,89774.2,84300.945,8115,8115,8115,8115,8115,8115
"22317_168.138_8.717",38478.434,41499.75,43394.254,19243.734,22301.781,14986.279,8115,8115,11106.108,8115,8115,8115,8115,8115,8115
"866_169.043_4.362",8115,8115,8115,28791.906,28206.883,28985.889,21548.18,25287.902,29022.826,23700.451,25634.508,26195.021,21949.725,29233.363,21610.346
"8087_169.086_6.554",8115,8115,8115,42087.223,45207.902,49437.734,46991.73,46048.48,42737.316,42522.438,33943.207,38202.547,38778.2,33198.37,39546.484
"9716_169.086_6.825",8115,8115,8115,154620.23,162187.97,181842.11,184989.39,164431.39,191314.9,117672.92,116175.68,114265.99,105673.4,125589.336,126911.914
"39432_170.096_13.957",39409.688,25099.348,16085.915,49035.98,37160.453,38614.84,39092.14,27014.434,39480.45,28193.62,29720.678,24547.525,24477.328,18615.238,22456.104
"11992_170.096_7.155",8115,8115,8115,504493.03,515074.25,538752.5,369170.28,442653.25,426068.5,418892.62,468073.25,463471.75,411195.56,467504.03,482659
"31880_171.117_11.055",8115,8115,8115,62768.32,59772.22,64804.777,133065.14,97505.734,131237.39,40984.69,73120.63,54775.133,56378.707,45761.72,34719.9
"28463_171.138_10.217",8115,8115,8115,68622.734,77499.875,75888.88,47963.184,48929.125,57972.68,63632.754,67590.94,71206.75,59470.613,63020.594,69607.19
"27898_172.17_10.049",8115,8115,8115,1874719.5,1902480.6,1886092.9,1750138.1,1625248.2,1748483.1,1697067.2,1701037.8,1592133.8,1624740.9,1601934,1625157.4
"29763_172.169_10.548",16073.639,17013.012,17631.922,327864.94,317383.44,296570.2,61712.992,62319.484,69743.29,278886.28,271243.34,284900,271384.22,282047.38,270729.7
"28993_172.169_10.37",8115,8115,8115,95434.89,123610.99,98257.95,145142.53,132741.02,69833.63,130463.55,76824.57,77971.48,140552.27,113504.1,73541.6
"14691_173.096_7.528",8115,8115,8115,135373.25,71565.086,291373.47,102413.47,30526.137,133946.4,67006.57,195665.67,117814.79,294500.72,236180.58,126143.66
"28355_173.096_10.196",8115,8115,8115,92583.24,70835.74,94546.61,76290.83,164381.38,136396.22,66925.234,38760.18,57209.68,68442.77,43322.33,24569.432
"36523_173.132_12.502",8115,8115,8115,84045.805,100938.66,110539.31,194276.22,211146.67,190351.28,82701.56,82576.11,82341.195,39445.3,65366.35,61620.1
"29684_173.133_10.534",40899.992,48612.254,41861.19,106001.85,109127.39,93509.375,74375.54,61108.234,35872.227,34013.57,69630.23,66216.734,55472.055,75671.76,102470.54
"32597_173.133_11.203",8115,8115,8115,133221.5,143364.81,154555.52,124752.43,91230.914,99202.31,87462.18,103570.67,83370.77,81772.42,61336.758,55512.293
"21161_173.133_8.512",72643.93,67988.625,60261.32,50993.715,36474.17,54813.58,31546.17,33243.875,43361.523,13507.906,31819.04,36650.062,24162.094,13195.568,51050.547
"33271_173.133_11.423",8115,8115,8115,61949.42,57814.63,74481.39,77249.164,91338.94,50687.91,51190.594,65959.766,52385.742,75279.73,49825.723,50906.2
"31203_173.133_10.875",45877.53,36715.656,36077.582,56135.43,27654.496,41482.156,71835.05,16887.777,62460.523,44448.977,24699.375,42627.887,23869.14,44705.598,47419.688
"13005_174.185_7.294",56698.68,59506.63,54057.62,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115,8115
"27991_175.112_10.071",8115,8115,8115,144023.4,110465.6,100654.48,202670.31,143896.22,195499.8,91092.46,96891.484,87016.02,70767.766,80512.375,68822.19
"21204_175.112_8.532",80900.69,65016.254,56912.555,117945.58,134886.39,129251.76,53349.023,131375,102425.195,92558.3,73793.73,109343.4,69624.56,102278.29,69815.61
"29512_175.112_10.486",8115,8115,8115,157694.39,150562.33,163283.66,178370.86,191281.28,204152.14,158139.58,124514.234,124364.62,116627.18,120489.234,135403.36
"34648_175.148_11.868",8115,8115,8115,88518.11,90214.43,111223.59,90720.82,46360.535,92654.69,76699.53,100571.59,74662.8,80486.625,33003.445,75906.586
"33483_175.148_11.503",8115,8115,8115,91746.05,85261.055,101699.67,137628.45,86491.125,116249.8,97521.47,74267.45,83458.26,95407.42,82399.49,69764.73
"5094_176.143_6.022",587700.2,584202.06,608331.1,45172.66,66404.06,38303.645,330596.44,101367.49,83797.18,9294.996,8115,11283.311,8115,8115,8115
"7022_176.143_6.387",213245.06,123275.234,199880.47,25267.922,23707.729,30979.24,75675.016,54594.496,76178.914,8115,8115,10367.953,8115,8115,8115
"2386_176.143_5.389",76862.836,78732.25,89714.89,37817.883,51482.07,24289.734,99892.14,126268.95,85413.31,8115,8803.553,8115,8115,8115,8115
"8788_176.144_6.666",42730.492,57294.37,48281.934,8115,8470.974,8115,24145.701,25349.47,25105.809,8115,8115,8115,8115,8115,8115
"21107_177.091_8.507",8115,8115,8115,92103.61,125299.95,123500.58,90135.67,177189.83,105688,104750.77,154780.39,101035.44,134548.92,154732.11,112423.016
"7668_177.091_6.483",8115,8115,8115,57071.906,82430.91,69572.46,100348.47,110039.47,70389.23,64320.08,100053.625,56424.74,98301.07,76151.945,61119.5
"35550_177.127_12.165",8115,8115,8115,49268.723,36027.426,47077.113,40604.78,60621.047,69527.82,26058.664,21737.988,31893.955,28857.707,31710.383,35792.15
"30761_177.127_10.767",8115,8115,8115,173264.03,168588.5,179264.28,125387.195,131380.19,134883.7,127673.3,120270.586,123868.23,140622.86,96514.414,106332.06
"26483_177.127_9.655",8115,8115,8115,85069.25,95213.16,109957.34,21285.586,11724.393,11080.679,76944.13,101013.81,69437.42,76318.3,104774.26,76036.83
"37572_177.164_12.818",8115,8115,8115,167818.12,167460.7,160944.23,173412.05,229684.23,216005.52,110502.96,114357.09,131246.34,103978.91,84713.76,120326.82
"34542_177.164_11.803",8115,8115,8115,47915.188,40456.39,41191.332,20561.152,29444.602,24831.857,42230.297,50518.965,41941.64,45935.086,44318.164,50712.242
"479_178.073_1.241",32566.447,36149.527,38976.777,8115,8115,8115,14973.31,14189.557,16516.873,8115,8115,8115,8115,8115,8115
"20351_178.078_8.392",8115,8115,8115,131964.62,610559.44,198475.88,55808.04,123881.1,187814.28,118844.88,150708.9,147379.4,180653.25,179642.3,179135.38
"20440_178.099_8.397",8115,8115,8115,1298448.1,1313446.6,1486181.9,151105.97,151535.38,167616.64,1220314.6,1288941.4,1330151.6,1256285,1337270.6,1363360.2
"14710_178.159_7.539",82442.76,75668.78,98657.65,8115,8115,11021.783,19301.941,52244.926,27582.822,8115,8115,8115,8115,8115,8115
"11800_178.159_7.103",305783.03,292194.72,299730.12,57007.46,66857.41,20730.965,158559.45,174001.38,157946.97,8115,8115,18255.285,8115,8115,8115
"16844_178.159_7.849",129076.78,173695.66,115851.74,12676.957,10502.895,30174.256,35639.777,48781.176,26092.893,8115,8115,8115,8115,8115,8115
"15827_179.07_7.726",8115,8115,8115,16166.576,30043.646,9865.867,28761.121,19901.557,17463.314,14536.617,39295.844,19492.2,25304.318,51650.29,30048.414
"39700_179.093_15.046",436717.56,99178.48,98577.97,123333.25,159024.1,390591.84,140187.4,407312.25,321190.9,312299.06,358655.22,453489.7,73322.88,88927.84,263737.56
"26661_179.107_9.69",25521.654,19973.348,21497.941,104951.125,111210.586,104760.57,117920.805,105090.85,126309.48,87035.375,97634.09,100786.375,89263.3,100257.89,90558.7
"24746_179.107_9.212",8115,8115,8115,238541.97,228128.84,248748.34,283962.16,263330.2,315300.3,215570.58,193296.88,164339.44,162417.95,220048.55,191606.44
"7229_179.107_6.406",401573.22,426205.1,437718.56,134767.55,152142.62,137477.67,354630.16,387639.06,379682.44,76883.195,74373.72,82990.84,59441.83,49756.5,78628.55
"25854_179.107_9.469",58095.402,60435.285,69066.33,131374.53,180695.38,184325.05,149452.6,172711.88,124718.34,101502.19,131798.95,86322.24,102584.89,96774.91,117606.6
"9586_179.107_6.806",523459.47,529311.5,534424.9,244650.52,248215.67,293011.47,627959.6,562708.75,592080.6,168736.88,161481.5,167177.53,101286.51,125576.484,119601.48
"31187_179.143_10.869",8115,8115,8115,68248.24,72631.516,95648.445,74273.234,49694.4,92148.97,52149.195,74380.48,72779.95,74285.06,68769.695,56735.336
"31893_179.143_11.056",8115,8115,8115,105267.484,107410.69,97807.414,122389.87,137125.11,106394.414,87300.03,90800.37,88983.61,81987.87,87457.484,93430.81
"440_180.088_1.165",8115,8115,8115,34808.176,32727.41,31106.254,28981.428,30109.062,32135.533,30817.299,30478.61,33220.793,31812.203,29156.543,32071.53
"233_180.102_0.808",16045.917,18559.422,23682.5,74801.66,83460.93,75054.24,71743.266,89674.47,99259.914,58593.375,72683.99,74676.445,67625.945,76490.64,76269.79
"911_180.102_4.475",8115,9229.061,9297.56,50912.832,63259.17,65293.496,92759.17,104586.125,104590.586,34324.78,44102.906,42289.875,36994.1,40857.035,45907.92
"587_180.102_1.5",91585,92805.26,90668.14,52606.668,43205.65,31044.363,60909.844,72589.08,49475.58,29782.99,35390.77,35646.68,17927.242,29132.139,24774.646
"371_180.102_1.031",27055.428,28581.336,28614.604,39205.848,34760.402,43063.637,39922.824,38841.7,33496.605,69058.945,67365.41,64852.367,65333.125,26610.2,33804.223
