"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"3615_151.112_9.684",0.000149505745807133,0.000180677417093426,0.000151631682153013,0.000105350991296247,0.000117198283757083,0.000113160307442184,0.000201876956614502,0.000204120885852643,0.000159926917011335,0.000173918654807015,0.000221010754497866,0.000300217655840662
"494_152.107_4.738",3.81237906008e-05,4.373823139306e-05,4.24988021468044e-05,6.04196033369889e-05,5.00461975462353e-05,5.21533167078231e-05,2.97107207591962e-05,2.96462657713751e-05,3.83532696052296e-05,2.20298673336695e-05,1.00330976414208e-05,2.5790009071694e-05
"3126_153.091_8.525",0.000365162748904118,0.000393348267231536,0.000400016330307438,0.000172802014439341,0.000177887290223405,0.000209763091771911,0.000441597184216979,0.000422587332308093,0.000475736045882868,0.000481143750640387,0.000564714011085056,0.000569932319776086
"724_153.139_5.391",3.68129044135399e-05,8.03369222103267e-05,6.80704540168182e-05,0.000166943016092499,0.000166536965019809,0.000165032305053262,1.97565422843131e-05,1.88378037777791e-05,2.00859674730583e-05,2.78681249932049e-06,2.97692354468215e-06,2.82786620746532e-06
"3994_157.101_10.487",0.000127695151036449,0.000123507928758477,0.000114908057669797,0.000123553951284009,0.000129300698816631,0.000127851346619584,0.00013927756249604,0.00014377932959673,0.000129925369071107,0.000140661240054957,0.000184899728868584,0.000144444127683112
"480_158.097_4.7",0.00028994347951031,0.000317399645902603,0.00031790824676664,0.000140790173193578,0.000160533274276477,0.000234656656399082,0.000360227087379812,0.00014185982208649,0.000336574211201383,0.000443430303824883,0.000426555091325793,0.000327920164386727
"3630_158.154_9.707",0.000269816533150465,0.000277274907612021,0.000301006425004393,4.69928324475308e-05,3.64382151370304e-05,4.40040273989068e-05,0.000296374565967788,0.000290556971467425,0.000308285504184197,0.00026820751143503,0.000328099207178028,0.000303050814612793
"4256_159.117_10.771",0.000141842029881476,0.000174861111009461,0.000188777507164482,0.000128380976980888,0.000183550274220005,0.000130014819200798,0.000174317979685314,0.000214949266686834,0.000229763927369009,0.000182317186695699,0.000186590993557407,0.00018810668214505
"993_160.076_5.809",0.000279197692112602,0.000291331156409968,0.000281656598878081,8.61623764207541e-05,0.000121979100342422,8.77570977430282e-05,0.000279515544300798,0.000290910983994727,0.000329110541253351,0.000314636905219728,0.000314054805735216,0.000268274485909013
"299_160.076_1.42",6.94149032759473e-05,6.64216175543303e-05,6.25234289397014e-05,4.78228114995721e-05,5.02022087272695e-05,4.33870037778824e-05,7.92297107524814e-05,9.21734081065091e-05,9.13711771663584e-05,9.01326025577531e-05,9.0239804550675e-05,8.68097545187474e-05
"7615_161.082_15.084",6.70713036700686e-05,0.000105326144490382,8.91053825478401e-05,0.000454041245152604,6.74033332264523e-05,3.41824625259016e-05,0.00011734295150553,0.00012655162168409,2.57736972794087e-06,2.78681249932049e-06,0.00013142897238989,0.000134666828693167
"7558_161.082_14.705",5.05335191972391e-05,0.000459327049004952,5.32675124473611e-05,0.000202361781934398,6.80601664087512e-05,7.47907397957855e-05,4.31283069542098e-05,0.000106076999903163,6.48345961006966e-05,2.78681249932049e-06,0.000118646722811625,0.000122802874345259
"3617_161.096_9.688",0.000211686969567032,0.000230570789644248,0.000261414421197917,0.000197822405427034,0.00026208667295279,0.000316053199468526,0.000233805222029614,0.000239609175255886,0.000239712243521036,0.000299312848410002,0.000272839375721169,0.000260946244952886
"3357_161.096_9.125",7.15211531174036e-05,1.95513964130925e-06,6.81991616598559e-05,0.000321699248107856,0.000167654381160169,0.000157807964941765,3.95127118109251e-05,9.07669245762774e-05,2.57736972794087e-06,6.98675605903056e-05,9.23572433712666e-05,7.38802466256036e-05
"3404_161.096_9.212",0.000152165380424924,0.000217774156299424,0.000242646047190508,0.000168981990508821,0.000139069276338546,0.000177366157913515,0.000154999925467782,0.000174167583340514,0.000210896190769618,0.000175020390588211,0.000213860288641712,0.000185723575374495
"7663_161.107_15.708",1.88456064693032e-06,1.95513964130925e-06,1.95620610904712e-06,3.00649736463315e-05,1.43176757639605e-06,1.42650301727298e-06,2.65476216443534e-06,2.6070378545866e-06,2.57736972794087e-06,0.000121786163768999,2.97692354468215e-06,8.21983763369696e-05
