"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"48_284.049_0.296",57190.832,12647.69,45817.29,36945.285,7563.9473,32706.104,16108.869,49327.13,22612.676,144551.81,42993.395,103408.12,141756.58,23091.436,25958.822,71652.2,25967.656,41705.992,28448.639,147599.69,57326.52,34622.098,47398.54,49831.234,152404.78,31618.234,147850.75,19026.871,63017.582,66731.82,34608.043,38022.945,65763.59,51978.453,11948.842,68534.04,62049.727,68566.64,69222.69,56783.336
"97_245.095_0.521",3766,3766,3766,63810.387,105098.74,63696.78,142389.19,20048.074,23827.398,55971.418,76873,117078.42,34443.28,62141.04,61229.266,98329.836,92136.16,60493.59,31539.266,23371.764,86572.7,57881.23,49130.547,31332.186,56877.996,48227.555,73141.85,36895.926,45772.766,45498.383,48804.12,64034.043,38520.805,46890.605,46498.23,31211.477,24871.02,35276.875,35860.074,36117.336
"105_181.097_0.521",3766,3766,3766,49561.344,75002.09,46975.82,103089.67,16139.823,16952.715,40117.45,58887.414,83179.66,25807.072,47373.645,43597.742,72381.734,67149.46,46208.46,25023.504,17744.14,65669.13,43626.12,39957.836,28384.6,43046.98,33569.805,57192.938,30222.6,34898.31,37332.293,38381.293,49773.805,31313.932,39566.18,36490.19,27539.812,20862.38,29850.8,29398.756,31549.182
"108_157.097_0.52",3766,3766,3766,3766,10152.913,4479.917,14823.354,3766,3766,6967.5522,5438.5356,19153.61,3766,7097.643,6200.591,19682.703,11528.107,5570.562,3766,3766,17488.734,4663.913,5594.8633,3766,6411.3394,10073.91,15325.049,4354.981,13108.853,15954.139,12195.675,24851.158,8405.92,14179.171,15465.478,8375.27,4496.8564,12493.275,9081.304,10506.501
"113_166.103_0.533",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766
"114_160.076_0.522",3766,3766,3766,183770.88,304328.34,178118.66,412781.25,144607.38,151759.14,280436,196100.77,476177.03,116820.19,355598.12,329247.16,495482.03,342406.94,343029.94,247149.9,164709.86,474401.5,245774.98,251285.4,197983.47,257045.97,341570,488413.75,258450.8,462201.34,507759.53,449601.6,733189.25,383483,505073.88,490937.5,314942.34,177482.83,435275.94,275424.5,239300.45
"120_169.097_0.525",3766,3766,3766,540843.4,741372.4,563904.4,888572.06,453367.34,318398.78,674889.5,620459.44,849212.2,387611.62,716681.6,702895.6,900353.94,790937.25,686544.8,507097.62,450944.72,915693.6,628391.44,654444.94,533841.94,720186.44,727423.94,900098.7,644932.75,822500.8,908421.5,852338.94,953751.1,771301.94,917014.3,888778.94,755401.25,684815.56,826362.56,903869.4,826194.44
"128_318.184_0.528",3766,3766,3766,76569.79,139332.52,63646.945,195599.3,22599.83,24406.703,60260.656,81481.336,137294.88,38482.867,62973.17,62674.03,102201.516,98435.42,67755.55,29426.156,22869.258,83234.76,53159.79,43684.74,29669.941,53243.246,56174.816,70540.53,42949.285,50802.438,44656.016,46362.133,71221.9,38619.9,42720.086,43765.18,29133.348,19969.846,34109.47,29521.16,31170.654
"132_166.086_0.53",3766,4464.22,3766,285792.3,391348.56,280959.06,352751.03,322712.2,275048.1,285779.25,303120.84,352444.06,298627.62,474972.25,430331.97,410411.84,350997.56,281502.5,344610.28,243557.58,386360.94,308576.16,322673.78,331286.5,622129.75,417704.6,829972.4,354802.2,700751.6,328691.88,328767.72,543273.75,340746.4,331318,349964.84,317894.03,410423.06,333462.03,459091.6,495834.94
"134_228.121_0.534",3766,3766,3766,3766,6958.1777,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,23281.645,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,7126.2993,4413.1353
"135_167.082_0.549",3766,3766,3766,108962.734,68183.79,106432.586,76041.71,69146.62,113158.53,104584.12,106535.8,88190.96,52552.71,113869.586,108893.43,99633.77,95015.805,104471.09,124382.29,121048.99,108326.74,106560.25,117108.5,117806.375,120595.6,109904.01,115910.59,115312.11,106981.33,107625.4,192491.86,97605.984,111298.31,116335.39,83799.79,108005.98,113820.336,116073.05,139616.2,120410.23
"137_176.093_0.531",3766,3766,3766,13281.074,17884.895,14651.118,21565.846,8070.4653,7316.6396,16666.902,15668.627,24827.686,6651.4697,18888.494,15628.905,24256.637,20967.717,16295.101,12941.795,10596.019,24311.574,15922.545,16786.814,14172.133,15814.057,16131.045,23948.775,15616.851,19709.408,21110.26,19148.332,22655.28,18037.613,21847.459,22825.916,16632.455,15052.646,18574.426,17283.936,17392.162
"138_235.108_0.556",3766,3766,3766,69600.01,45398.305,67533.5,47235.312,43595.598,75312.12,66721.125,69328.27,64348.902,30724.904,75165.516,71100.9,34274.004,50504.51,67748.7,82114.67,79922.42,70336.89,67988.28,74637.88,76780.25,89873.055,68813.72,75299.445,74638.94,67846.69,70980.83,70077.81,36247.67,69175.12,81237.31,66796.95,69885.56,68788.91,71292.055,97969.61,75565.164
"139_205.01_0.539",3766,3766,3766,26540.87,29645.828,28581.582,32466.02,16087.632,21793.42,32612.098,30231.668,35132.266,13560.283,34299.605,32057.918,37715.19,34058.72,31431.715,28545.992,29249.477,38821.926,30773.588,33035.277,29228.777,36717.246,34416.27,39622.547,33282.418,33695.44,33883.83,33166.72,36264.24,33902.906,34743.766,34888.754,27490.084,13366.86,32968.754,32178.635,28527.346
"146_173.071_0.548",3766,3766,3766,34696.87,37491.71,35058.418,39854.465,18256.572,28045.16,37205.28,38762.273,43397.855,15312.807,39226.273,38242.33,42606.51,41021.05,37392.883,34785.473,34635.082,44025.535,35526.34,37513.97,33865.938,41201.996,43612.066,46179.285,42807.996,47661.277,48895.543,46155.684,47845.523,46209.113,48828.074,51335.574,50743.777,50332.53,47488.117,60323.18,58120.33
"147_265.118_0.549",3766,3766,3766,36047.516,38909.95,35622.61,43592.375,24377.162,27799.945,38745.832,37423.438,43572.37,19118.611,41149.758,39692.95,45978.61,43100.996,37696.33,36330.945,34766.145,46815.457,37245.36,40035.664,36781.242,45578.45,40128.3,47788.777,40045.066,42478.95,44918.258,43340.35,44970.727,40880.574,48722.32,46904.387,39950.44,39289.805,42545.965,49127.85,45600.2
"148_189.113_0.549",3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,3766,4463.528,36825.57,14713.93,19649.006,19719.355,39494.234,3904.179,3766,42648.203,26799.092,72315.95,59063.562
"150_221.093_0.552",3766,3766,3766,49207.348,51908.34,51519.938,56287.984,28661.645,42494.617,53551.2,53209.805,58688.11,22048.303,57703.832,56821.17,59885.16,58539.25,53746.887,52152.21,47129.305,64185,53464.75,56073.375,51607.61,63777.426,47317.734,64671.785,53657.582,55484.977,59107.246,56213.56,58108.61,54305.28,60872.97,59633.465,46403.723,51323.01,55787.734,64151.645,58340.723
