"","t2_Ec_C.mzML","t0_Ec_C.mzML","t1_Ec_C.mzML","t0_Ec_3.mzML","t0_Ec_1.mzML","t1_Ec_2.mzML","t0_Ec_2.mzML","t3_Ec_1.mzML","t1_Ec_1.mzML","t3_Ec_3.mzML","t1_Ec_3.mzML","t2_Ec_1.mzML","t3_Ec_2.mzML","t4_Ec_3.mzML","t3_Ec_C.mzML","t4_Ec_2.mzML","t2_Ec_3.mzML","t2_Ec_2.mzML","t4_Ec_C.mzML","t5_Ec_1.mzML","t6_Ec_1.mzML","t4_Ec_1.mzML","t5_Ec_2.mzML","t5_Ec_C.mzML","t5_Ec_3.mzML","t6_Ec_2.mzML","t6_Ec_C.mzML","t6_Ec_3.mzML","t7_Ec_C.mzML","t8_Ec_2.mzML","t7_Ec_3.mzML","t7_Ec_1.mzML","t7_Ec_2.mzML","t8_Ec_3.mzML","t8_Ec_C.mzML","t9_Ec_C.mzML","t9_Ec_1.mzML","t8_Ec_1.mzML","t9_Ec_3.mzML","t9_Ec_2.mzML"
"48_284.049_0.296",0.000254289482915253,6.95407254142211e-05,0.000209866550961759,4.80672089057814e-05,9.92963758907227e-06,3.47888452300936e-05,2.12300524696334e-05,6.69214859166043e-05,2.32957950237711e-05,0.000146161072623323,4.98832023919033e-05,9.99910509428994e-05,0.000209634492339591,2.15169504761868e-05,2.85575601832308e-05,6.65716891144667e-05,2.45078589032913e-05,3.82144322474961e-05,3.07737694348017e-05,0.000139643153517795,5.37489985662161e-05,3.40673210092384e-05,4.29775490440747e-05,5.41840226553345e-05,0.000141474953137663,3.5219972699644e-05,0.000150788645188852,2.0544217077842e-05,8.07090911910061e-05,6.483424833916e-05,3.78126067516131e-05,4.06378800261058e-05,6.7660956190702e-05,5.22603588920755e-05,1.43062647390434e-05,8.46311087909397e-05,6.11807410943508e-05,7.21942348600441e-05,6.66694996419397e-05,5.35093706999334e-05
"97_245.095_0.521",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,8.30197196283033e-05,0.000137969284802941,6.775302313829e-05,0.000187656251646755,2.71989653938115e-05,2.45472132425996e-05,5.65945351436855e-05,8.91921053797399e-05,0.00011320962278914,5.09359037676444e-05,5.79039640591751e-05,6.73589290288307e-05,9.13577429983796e-05,8.69566359463122e-05,5.54291622283629e-05,3.41169958966009e-05,2.21118813205751e-05,8.11700401170951e-05,5.69537537216711e-05,4.45480070325946e-05,3.4069071539853e-05,5.27989464547251e-05,5.37213169613008e-05,7.45952284185655e-05,3.98382851826764e-05,5.86229783484644e-05,4.42046007804405e-05,5.33231826318101e-05,6.84378276596014e-05,3.96321809611606e-05,4.71449168748163e-05,5.56720047245524e-05,3.85423346633718e-05,2.45227095902037e-05,3.71432375697339e-05,3.45374210494122e-05,3.40349133541229e-05
"105_181.097_0.521",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,6.44811773870278e-05,9.84596458152189e-05,4.99672639558883e-05,0.000135862989709408,2.18966912851201e-05,1.74648490844874e-05,4.05640685018922e-05,6.8324280762145e-05,8.04310301789941e-05,3.81643831805992e-05,4.41434813036943e-05,4.79623128128838e-05,6.72494953876367e-05,6.33745876451922e-05,4.23399607406804e-05,2.70686953617302e-05,1.67876210719768e-05,6.15709792643031e-05,4.29270645131776e-05,3.6230859777223e-05,3.08640121065958e-05,3.99598324817496e-05,3.73938536741923e-05,5.83294006651302e-05,3.26327778780225e-05,4.46956356434304e-05,3.62707199568704e-05,4.19352443253564e-05,5.31968766762487e-05,3.22173801827215e-05,3.97807677498301e-05,4.36894486108356e-05,3.40082800525699e-05,2.05702092676727e-05,3.14300899965378e-05,2.83144204973178e-05,2.97301460928197e-05
"108_157.097_0.52",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,1.33283248236513e-05,4.76520037839619e-06,1.95358583644793e-05,5.10928399770941e-06,3.87976920818756e-06,7.04512038355653e-06,6.31007558371167e-06,1.85206886388654e-05,5.56928996277209e-06,6.61369145377766e-06,6.82133228750132e-06,1.82870977450571e-05,1.08800432267758e-05,5.10420335115098e-06,4.07379824713102e-06,3.56298929996408e-06,1.63973312646736e-05,4.58917946942904e-06,5.07301515765346e-06,4.09496239487045e-06,5.95154522820511e-06,1.12214627540131e-05,1.56295681703527e-05,4.70228000357377e-06,1.678902266016e-05,1.55004705395938e-05,1.33249448067745e-05,2.65602355975793e-05,8.64844186369001e-06,1.42560719391189e-05,1.85167083625218e-05,1.03424281790989e-05,4.43387941331111e-06,1.31542457020078e-05,8.74635172045966e-06,9.90072609978781e-06
"113_166.103_0.533",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,4.94384924660252e-06,4.00582078307255e-06,4.96325208185873e-06,5.10928399770941e-06,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,3.56298929996408e-06,3.53097883144433e-06,3.70565443263409e-06,3.41473492010482e-06,4.09496239487045e-06,3.49591839256247e-06,4.19499764556297e-06,3.84083298719294e-06,4.06632922014098e-06,4.82326404439524e-06,3.65891083511998e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,3.71325841548546e-06,3.9652444466132e-06,3.62709590817036e-06,3.54886317450509e-06
"114_160.076_0.522",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,0.000239092844452527,0.000399509674569516,0.000189461346277492,0.000544008868405403,0.000196186981567893,0.000156343717056034,0.000283558030592589,0.000227526446774396,0.000460442000730393,0.000172757703562435,0.000331351724399692,0.000362208099691805,0.000460349796139754,0.000323158200071186,0.000314312015429165,0.000267349662612482,0.000155830979495109,0.000444795978254232,0.000241836735015283,0.000227847326153083,0.000215277446748795,0.00023861171913358,0.000380479380189842,0.000498118864152577,0.000279061614447375,0.00059195940108691,0.00049332098936602,0.00049123287600215,0.000783612547053642,0.000394546989646991,0.000507813155497588,0.000587796026202716,0.000388915047754563,0.000174997241662686,0.000458304700963712,0.000265265819691945,0.000225503068148565
"120_169.097_0.525",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,0.000703657657346888,0.000973243064575652,0.000599814117149776,0.00117105871658962,0.000615077667378142,0.000328017467490304,0.000682402892237862,0.000719889737051167,0.000821150412090768,0.00057321335759953,0.000667814790487448,0.000773262492401549,0.000836514197563581,0.000746473941443048,0.00062906835412213,0.00054854312147645,0.000426636009621694,0.000858548783241914,0.000618322231828284,0.000593403077510331,0.000580473358763858,0.000668537711542775,0.000810287231977201,0.000917984274744949,0.000696364547623707,0.00105340906402717,0.000882589821881558,0.000931262052503424,0.00101934299872265,0.000793555016873979,0.000921987740327042,0.00106412879257474,0.000932827619232163,0.000675224944563299,0.000870082196476119,0.000870531333579499,0.000778558423552006
"128_318.184_0.528",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,9.96201840587186e-05,0.000182909977171862,6.77000146203069e-05,0.000257782430412934,3.0660900098235e-05,2.51440187925595e-05,6.09315242607136e-05,9.4538939640628e-05,0.00013275804008698,5.69097835692494e-05,5.86793554207063e-05,6.89483283814117e-05,9.49549008987749e-05,9.29017769045545e-05,6.20831624114547e-05,3.18311796953276e-05,2.16364635029522e-05,7.80404077536774e-05,5.23079690524157e-05,3.96101452877589e-05,3.22616284261883e-05,4.94248653667362e-05,6.25738770206939e-05,7.19422184169073e-05,4.63743846467506e-05,6.50646767320814e-05,4.33861871470237e-05,5.06550775868773e-05,7.61200119409822e-05,3.97341349824316e-05,4.29517790046643e-05,5.23997431242197e-05,3.59761009862005e-05,1.96901749111653e-05,3.59140697011204e-05,2.84323097823798e-05,2.93734429383536e-05
"132_166.086_0.53",1.67448900316548e-05,2.45455966432348e-05,1.72502003266012e-05,0.000371826558863026,0.000513746225043808,0.000298850674917825,0.00046489439299663,0.000437819511238874,0.000283357182461629,0.000288960765786943,0.000351696771351128,0.000340797724182417,0.0004416207665089,0.000442586350230147,0.000473412512017814,0.000381311521786857,0.000331265889993287,0.000257935555489263,0.000372775558844219,0.00023042831956058,0.000362249681475553,0.000303631602525015,0.000292577117463681,0.000360224577649562,0.00057751323302849,0.000465286726909406,0.000846464517360513,0.000383096801176395,0.00089748008399693,0.000319345268493881,0.000359210271120631,0.000580636073135119,0.00035057738244733,0.00033311490796782,0.000419010448911866,0.000392560021806977,0.000404675220779153,0.000351104212058912,0.000442158593689692,0.000467246510674174
"134_228.121_0.534",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,4.8997080071022e-06,9.13440827930735e-06,4.00582078307255e-06,4.96325208185873e-06,5.10928399770941e-06,3.87976920818756e-06,3.80792602665738e-06,4.36951164726367e-06,3.64155443354892e-06,5.56928996277209e-06,3.50921594886171e-06,4.14301433439651e-06,3.49897115796977e-06,3.5542906387005e-06,3.45071643048486e-06,4.07379824713102e-06,2.20266202922364e-05,3.53097883144433e-06,3.70565443263409e-06,3.41473492010482e-06,4.09496239487045e-06,3.49591839256247e-06,4.19499764556297e-06,3.84083298719294e-06,4.06632922014098e-06,4.82326404439524e-06,3.65891083511998e-06,4.11471625328757e-06,4.02499743716103e-06,3.87465406031185e-06,3.78642495550139e-06,4.5090053920905e-06,4.65054673132766e-06,3.71325841548546e-06,3.9652444466132e-06,6.86345486761213e-06,4.15868649768414e-06
"135_167.082_0.549",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,0.000141764625665307,8.9508863202869e-05,0.000113210266860052,0.000100216191042379,9.38103343233387e-05,0.000116576999558622,0.000105748431365656,0.000123608449004395,8.5276734303488e-05,7.77167499520639e-05,0.000106105408200074,0.000119794753428466,9.25692213462012e-05,8.96743988954043e-05,9.57249354152052e-05,0.00013454815586196,0.000114523700515523,0.000101566496500099,0.000104852751660939,0.000106185471160673,0.00012809683364339,0.000111946993123236,0.000122423543066365,0.000118213812436802,0.000124507966630141,0.000137015189169034,0.000104564987305927,0.000210315821818257,0.000104318596774185,0.000114509412837851,0.000116966336671266,0.000100332900946907,0.000133374099111216,0.000112226319836798,0.000122214024671789,0.000134466635086111,0.00011346771935228
"137_176.093_0.531",1.67448900316548e-05,2.07065773995059e-05,1.72502003266012e-05,1.72791780724155e-05,2.34785514262653e-05,1.55841085978886e-05,2.84218614064112e-05,1.09490969759318e-05,7.53767207315076e-06,1.68524508522432e-05,1.81795666949363e-05,2.40072676654436e-05,9.83642151829333e-06,1.76005853411521e-05,1.71935149882956e-05,2.25367162114558e-05,1.97889963483859e-05,1.4930900891426e-05,1.39995384454936e-05,1.00248280189103e-05,2.27943847990155e-05,1.56674055916266e-05,1.52210621250941e-05,1.54100774535588e-05,1.46799396514422e-05,1.79685862441504e-05,2.44246534845623e-05,1.68622563855252e-05,2.52426125710876e-05,2.05099731933617e-05,2.09213895124128e-05,2.42133414599483e-05,1.85580218929325e-05,2.1965949010062e-05,2.73293091671282e-05,2.05390359092417e-05,1.48418386709568e-05,1.95571268044418e-05,1.6646440133478e-05,1.63893795132307e-05
